名称,摘要
联合收割机,联合收割机，它解决了现有联合收割机的相对左右侧离合器分别设侧离合器杆、而造成的在转向操作时需要操作双离合器杆的杆，从而操作麻烦并产生误操作的不良情况等问题，本发明的特征是：由一根侧离合器杆176的左右转动操作可断接左右离合器，在该侧离合器杆176的近旁横设辅助杆174，从后视看，该侧离合器杆176的左右转动轨迹与前述辅助杆174的左右宽度重叠。
联合收割机,一种联合收割机，在割取部8的前侧立起设置多个扶起箱24，在各扶起箱24上部的门架60背面侧设置扶起用驱动箱42，从上述驱动箱42向装设扶起尖齿23的上述各扶起箱24传递动力；其特征在于：从上述驱动箱42朝下方延伸设置纵轴54，在纵轴54下侧配置扶起尖齿23的驱动链轮44，同时，在扶起用驱动箱42通过扶起用变速箱46连接扶起用输入轴39，使上述输入轴39在侧面视图下与纵轴54斜交。这样，可容易地确保扶起箱的后倾角和输入轴的前倾角，确保长禾杆用扶起构造的紧凑化和上述输入轴的扶起支承力等。
用于割草机上的刀片,一种用于割草机上的刀片(40)，包括一个空气提升部件(44)，该空气提升部件从形成于转动前缘(41)上的刀刃(43)向转动后缘(42)弯曲。空气提升部件的后缘被加工成波浪形，这种波浪形结构包括多个凸起(46a，46b，46c)和多个凹槽(49a，49b)。在刀片(40)的转动过程中离心力最大处，即最接近外端(47)的凸起(46a)其宽度(Ta)最大，以改善剪下的草屑的排出性能。这些凹槽限制了在空气提升部件后方由转动产生的负压。形成于空气提升部件上的多个通风口(45)沿径向有秩序地排列。
秸杆切割装置,一种秸秆切割装置，它设置于联合收割机的后面，把从联合收割机的发动机所排出的废气喷射到由该秸秆切割装置下端落下的已切割的秸秆穗稍上，该秸秆切割装置把可在闭合位置与开启位置之间进行操纵的机罩设置在上端开口上，并设有转换开关，它能使处于该闭合位置的机罩打开时，以及处于该开启位置的机罩进一步开大时，强制发动机停机。
收获机,一种收获机，具有割取装置、脱粒装置及谷粒储存装置，该谷粒储存装置暂时储存由该脱粒装置进行了脱粒分选的谷粒；可绕纵向轴心回转地构成上述谷粒储存装置，并设置有接合装置，当谷粒储存装置从朝外侧回转的“开”位置返回到规定的“闭”位置时，该接合装置锁定该谷粒储存装置。采用本发明，可以防止无意中打开谷粒储存装置，可以牢固地使谷粒储存装置保持锁定状态，而且维护管理作业容易。
联合收割机的收割部驱动构造,一种联合收割机的爪形离合器机构，防止爪形离合器机构产生噪音。在驱动侧圆盘和从动侧圆盘之间设置缓冲器，使其由该缓冲器缓冲反转时的两圆盘的接近动作。
联合收割机,一种联合收割机，在机体前侧的收割部设有刀片与输送机构，刀片用来割断未收割的谷秆根部，输送机构用来以横倒姿势支承与输送已收割的谷秆；同时在其机体后侧的脱粒部设有脱粒滚筒与筛选机构，脱粒滚筒用来对从前述收割部来的谷秆进行脱粒，筛选机构用来分离并取出落到脱粒滚筒下方的脱粒物中的谷粒与草屑；其特征在于：它装有进给链的导轨构件，该构件设于脱粒部侧方，并可绕支点轴水平自由旋转。
窄行收获机,一收获小行距作物的窄行收获组件。在摘棉机实例中，其作物摘收部分包括一串联鼓。还包括间距为12英寸(30cm)的并由一细扶持器分开的第一和第二行作业采收区。该农作物摘取部分使第一行农作物朝扶持器后方的第二行作物横向移动。在该组件中，一前置鼓包括一些伸出栅条并拦截第一作物的锭子，从而使植物横向移至主采收区。一偏置在前置鼓前方的切割器切割第一行植物，具有伸出部的转动柱与鼓合作使被切割的植物引入第二行内。
灌木切割机,一种灌木切割机，其包括：一个用于转动驱动切割刀片(22)的发动机(21)，一根用于调节发动机的节流阀的节流杆(107，226，332，427)，以及一个用于停止切割刀片转动的制动装置(65)。通过仅操作节流杆，能够实现制动装置从制动状态的解除和节流阀的开启程度的调节。
灌木切割机操作杆,用于灌木切割机(11)的操作杆包括容纳在手柄壳(31)中的手柄(13)、铰接安装到该手柄上的节流阀杆(32)和铰接安装到该手柄上的锁定杆(33)。该操作杆进一步包括向锁定杆施加弹力的螺旋扭簧(35)。该锁定杆在操作者手掌的作用下自初始位置转动到满转位置。节流阀杆也可以在操作者手指的作用下转动到半转位置。当手掌移开手柄壳一小段距离同时节流阀杆被维持在半转位置时，锁定杆在弹簧的弹力作用下向初始位置转回。这引起侧面凸起部分(33e)的弯曲表面(33f)配合或顶靠在节流阀杆凸起部分(32d)的侧面(32f)上。这样配置的优点是即使当操作者将她或他的手指从节流阀杆移开，节流阀杆仍由于该弯曲表面和该侧面之间产生的摩擦力而锁定。
电动割草机,在电动工作机中，卷轴部分(31)设在机体(11)的左和右侧中的一侧，和电源开/关键(41)可装卸地插入其中的继电部件(42)设在机体(11)的另一侧。所述的继电部件(42)设置在马达驱动的电池(26)和控制部分(24；64)之间，从而使电池(26)和控制部分(24；64)通过电源开/关键(41)插入继电部件(42)而相互之间电连接和通过从所述的继电部件(42)撤出所述的电源开/关键(41)而相互断开。
一种植物切割装置,本发明的植物切割装置包括：一体的操作杆，操作杆包括外管部分，同心布置在外管部分中的内管部分以及延伸在外管部分和内管部分之间并且连接外管部分和内管部分的第一、第二和第三径向撑条部分，第一、第二和第三径向撑条部分按照下述方式以不相等的角间距设置，即第一和第二径向撑条部分所形成的角度θ1、第二和第三径向撑条部分所形成的角度θ2以及第一和第三径向撑条部分所形成的角度θ3互不相等；驱动轴，它穿过内管部分并且通过衬套可转动地支承在所述内管部分中，衬套设置在驱动轴和内管部分之间；驱动源装置，它固定在操作杆的一端上并用于驱动该驱动轴转动；切割刀片，它固定在操作杆的另一端上并与驱动轴连接以便随驱动轴转动。
联合收割机的散热及冷却装置,一种联合收割机的散热及冷却装置，在发动机罩82内部配置油冷却器86，该油冷却器86离开散热器74地倾斜配置在发动机罩82内的冷却风流路内，油冷却器86可与发动机罩82一体地回转。这样，可使冷却风良好地流动，防止尘土附着在散热器，并使空气过滤器的维修管理作业也能够容易而迅速地进行。
用于收割机的行探测器及行对准系统,一种用于收割机的行探测器及行对准系统，包含若干安装在升降构架上和收割机前部的若干对行部件。为了与“推量行”对准，一个或多个对行部件可以在构架上横向调节。其中一个可调节对行部件包含机械式接触子，其响应于在对行部件的播种作业通道和由对行部件收获的该作物行之间在对准过程中的变化量可以移动。一个连杆机构将接触子直接连接到支承在十分接近接触子的对行部件上的三位四通阀中的阀柱。
割草机,一种割草机(10，100)，具有允许草屑在壳体(11)内旋动同时将它们引向草屑排放通道(21)的涡旋部分(11d)。设置在壳体的顶板(11a)下面的导向件(70，170)沿着涡旋部分放置。该导向件的后导向端(71，171)和面对草屑排放通道的壳体的通道开口相对。通过导向件将回旋流的方向逐渐地改变并且将其引向通道开口。
割草机,一种割草机，包括从壳体(11)向后延伸的草排放通道(21)。草容器(23)通过容器安装部分(22)可拆卸地安装在排放通道处。在面对壳体的草排放通道的通道开口(24)处设置挡板(49)。挡板可转动地设置壳体内以调节通道开口打开的程度。割草机通过挡板的打开控制在打包模式、覆盖模式和中间过渡模式之间切换。
具有收集装置的棉花收获机,一种用于从植珠上摘取棉花的棉花收获机，包括传送摘取棉花的管道结构和连接于收获机的用于加工摘取棉花的可选择性操作的加工结构，其中收集结构包括：一直立的贮存区域，该区域位于管道结构的下游，接收从植珠上摘取的棉花，该贮存区域包括一排出区域：靠近排出区域配置的转动结构；和连接于该转动装置的一驱动结构，用于使接收的棉花从贮存区域向下游移向加工结构。
摘棉机的单行作业组件,一种摘棉机单行作业组件，该组件带有串联滚筒装置和通道室(170)，通道室(170)的横截面从后支撑柱起基本保持不变，从而使吸取通道更加靠近棉花行中心线以缩窄组件的全宽。组件的窄度足以使其对行距小于30英寸的棉花进行采摘。吸取通道的新位置使从后脱棉器(149)出来的棉花更直接地进入通道(174)。单行作业组件的摘棉滚筒有若干摘棉杆，每一摘棉杆有14或16个摘锭，这一设计缩减了组件的高度和重量，并且可以使用较短的扶茎器，由此还减小了组件的长度。
一种将手柄固定到割灌机的操作杆上的手柄支架,一种将U形手柄(18)固定到割灌机(10)操作杆(11)上的手柄支架(19)、手柄支架包括：第一支撑件(31)和第二支撑件(32)，第一支撑件包括用于穿过操作杆的操作杆插孔(35)，斜的凹槽(36)，和一个用来容纳手柄底座的手柄容置凹槽(38)，第二支撑件包括一个楔块(45)和一个手柄固定凹槽(42)，楔块被安装到第一支撑件的凹槽内，来将第一支撑件固定到操作杆上，手柄被插入和固定在第一支撑件的所述手柄容置凹槽和所述第二支撑件的所述手柄固定凹槽之间，以便固定到第一支撑件上。
一种植物铲除装置,一种植物铲除装置，包括操作杆(11)，通过离合器外壳(40)安装在操作杆(11)的一端(11a)上的驱动源装置(13)，和安装在操作杆另一端上的切割刀片(14)，其可由启动驱动源装置来带动旋转。将操作杆插入离合器外壳的轴向松配合的孔(43c)中，操作杆端部的端面靠在设于松配合的孔中的对接区域(43d)上。驱动源装置由操作杆的端面通过离合器外壳的驱动源安装部分(43)支撑。驱动源装置可以绕支撑装置的操作杆的端部自由地振动，因此，离合器外壳的弹性连接部分(42)可以执行振动减轻的功能，减轻从驱动源装置传给操作杆的振动。
自力推动的后行式工作机,一种自力推动的后行式工作机具有从主体(11)后端向后及向上延伸的把手(50)、操作转换杆(63)、和驱动转换杆(91)。用于调节工作机(10)驱动速度的速度调节旋转控制器(123)设置在驱动转换杆的附近，端部可转动地固定在把手的侧面，位于操作者的手边。即使在工作机被推动时，速度调节旋转控制器都可以用一只手来操作，同时用另一只手握住驱动转换杆和把手，以此来调节工作机的驱动速度。
用于草切割缆索的卷轴及割草头部,描述了一种用于卷绕割草装置的切割缆索的卷轴(1)，上述卷轴包括一第一系列和一第二系列轴向和角度上错开的齿，并约束有一可轴向移动的滑动件(21)，该滑动件(21)上设有一与上述第一和上述第二系列齿配合的齿圈(23)。
一种灌木铲除机,一种灌木铲除机，包括原动机(14)，切割器(16)以及固定在操作杆(11)上的把手(18)。把手具有带有手柄(20，30)的左右端部部分。每一手柄固定在把手上固定点和末端部之间的把手部分的质量与手柄的质量之和的重心处。
后走式工作机,一种后走式工作机包括一种允许运转离合器(30)用于滑动阶段中的握持/离合器杆(70、110)。该握持/离合器杆安装在手柄(50、51)上，可在前部位置和后部位置间摆动，并通过离合器拉索(36)与运转离合器相连。当该握持/离合器杆移动到后部位置时，运转离合器不连接。当该握持/离合器杆移动到前部位置时，运转离合器连接。在握持/离合器杆自后部位置移动到前部位置的过程中，运转离合器进入滑动阶段，从而使后走式工作机以低速起动。
步行式的工作机,一种步行式的工作机包括一发动机、一对后轮以及一位于发动机和后轮之间的移动离合器。该离合器包括一盛有润滑油的外壳、一具有凹部的主动构件以及一具有凸部的从动构件。该主动和从动构件浸在润滑油中。该离合器具有一在座标系统中显示的特性曲线，该系统的垂直轴线显示在凹部和凸部之间的摩擦系数，而该系统的水平轴线显示一参数，该参数是用凸部相对于凹部的每秒转数和油粘度的乘积除以在凹、凸部之间的表面压强获得。该特性曲线包括第一和第二直线。该第一和第二直线在一拐点处彼此相遇。该拐点与在工作机从高负荷行进状态转换到低负荷行进状态或者相反时的一转换点相对应。凹部可具有在其表面上形成的一螺旋状沟槽和复数的直沟槽。直沟槽垂直于螺旋状沟槽延伸。
联合收割机,一种联合收割机，在割取部6的右根部侧输送装置37、左根部侧输送装置39的上方，分别设有右穗前端侧下段输送装置38、左穗前端侧下段输送40和右穗前端侧上段输送装置60、及左穗前端侧上段输送装置61，左穗前端侧上段输送装置61比右穗前端侧上段输送装置60的稻秆输送通道LL长，朝侧视下的前进方向将右穗前端侧上段输送装置60配置在左穗前端侧上段输送装置61上方。
作业机,一种联合收割机等作业机，可简化机械式连接机构27的结构，提高其组装性和维护性，并降低制造成本。机械式连接机构具有第1摇动部件和第2摇动部件；变速操作器具与第1摇动部件连动连结，第1摇动部件与变速操作器具的操作相连动地围绕第1轴线摇动，转向操作器具与第2摇动部件连动连结，第2摇动部件与转向操作器具的操作相连动地围绕第2轴线摇动，当变速操作器具位于中立位置时，即使随着转向操作器具的操作第2摇动部件进行连动，也不会操动无级变速装置进行变速，当变速操作器具位于中立位置以外的位置时，随着转向操作器具的操作第2摇动部件进行连动，从而能够操动无级变速装置进行变速。
电动割草机,本发明提供一种电动割草机，该电动割草机具有电马达(22)、手柄(16)和开关操作机构(28)。所述的开关操作机构包括：可转动地与所述手柄(16)的一部分连接的操纵杆(73)；大体上为扇形的促动部件(72)，在其转动部分(72a)处如此与所述手柄(16)可转动地连接，从而使所述促动部件(72)可响应于由操作人员进行的所述操纵杆(73)的操作而转动；以及非接触开关(36)，用来根据所述非接触开关(36)的开关状态来打开或关闭所述电马达(22)。所述非接触开关(36)的开关状态是根据所述促动部件(72)响应于操纵杆(73)的操作是朝着非接触开关还是远离非接触开关(36)进行转动运动来确定的。通过这样的设置，就能够以稳定的方式精确地执行操作机构(28)的开关操作。
联合收割机的二次处理装置,一种联合收割机的清选装置，在该清选装置清选后的二等品进行处理的二次处理机构中，在构成其外框的筒体的一侧设置投入口，使二次还原推运器的终端部相对该投入口连通，二等品通过该投入口从该二次还原推运器投入下落到该筒体内。另外，在该投入口的下方的筒体的内侧面上设置控制阀，调整二次处理机构内的二等品的输送速度。固定该控制阀和螺栓，使该螺栓从穿设有长孔的筒体上突出来。使其能用在该螺栓上的配设在筒体外周的连杆对控制阀的角度进行调整。由此解决如下问题：现有的二次处理机构由于不能改变二次处理机构内的谷粒的移动速度，所以不能根据水稻的种类的不同改变精选率。因此，存在的不利情况是：秸梗多的水稻，不能完全除去秸梗，另外，在收割不带秸梗的水稻或进行收割小麦的作业时，要损伤谷粒。
电动割草机,在电动割草机中，充电电池(26)和由所述电池致动的电马达(22)安装在机体部分(11)中，和刀片(23)放置在切割机壳体(21)内并且由所述的电马达带动转动以切割草。遮盖构件(27)遮盖所述的电池和电马达。所述的遮盖构件形状为在机体部分的前面至后面的方向向上逐渐倾斜，和所述的遮盖构件在其下部前端部分形成开口(47a)和在其后端部分形成气孔(27a)从而允许从开口到气孔的空气流通，这样就能利用空气流冷却电池和电马达。
叶片制动器和离合器,一种摩擦连接器，包括摩擦部件，该摩擦部件包括制动表面和在与制动表面不同的平面上的离合器表面；弹簧，该弹簧抵靠该摩擦部件；制动部件，该制动部件靠近制动表面；制动部件相对于摩擦部件安装成能够相对旋转；以及制动促动器，该制动促动器与制动部件相连。
用于联合收割机的切割装置,一种用于联合收割机的切割装置(1)，具有构成一个槽(6)的框架(2)，所述槽包括一个后壁(3)、两个侧壁(4)和一个作为切割台的底板(5)；所述框架在槽的进入侧装有：一个可调整地置入的切割器杆(7)，处在切割器杆或侧壁(4)端部区域的用以固定分禾器(9)、侧面切割器(10)等的连接位置，处在切割器杆(7)上部的一个可通过调整驱动装置(11)移动的拨禾轮(12)，以及处在槽(6)内部的一个置于后壁的一个通孔之前的螺旋输送器(15)；其中，底板(5)是横向分开的，并且为了使切割台长度适配于各种收割特性，它由一个与框架固定的后底板部件(16)和一个沿行驶方向相对于框架可移动调整导向的前底板部件(17)组成，两个底板部件沿着调整行程相互搭接。为了实现简单而功能可靠的结构，所述前底板部件(17)在切割台缩短时可移入后底板部件(16)的下面，并且设有一个从后底板部件(16)的前端棱边(20)突出来的顶料器(21)作为两个底板部件(16，17)之间的过渡。
