名称,摘要
在挤奶期间刺激乳房的装置,本发明涉及一种在挤奶期间刺激乳房的装置，该装置包括具有第一连接件(350、351)和第二连接件(352、353)的壳体，该壳体可由手抓握。第一连接件将壳体连接到脉动器，并且第二连接件将壳体连接到奶杯。节流阀(305、306)介于第一连接件和第二连接件之间。控制装置(309)容纳在壳体中，并且适于在限定的持续时间之后将节流阀从部分打开位置带到打开位置。
有传送奶的管状部件的装置,本发明涉及有弹性材料的传送奶的管状部件(1)的一种装置。该管状部件适合传送奶流和包括有外表面(6a)和朝向该管状部件内部空间(7)的内表面(6b)的壁(6)。将第1电极部件(11)装设在壁中和该电极部件有朝向内部空间和提供接触流过管状部件的奶的第1接触表面(13)。第1电极部件是由导电聚合物构成。
乳头杯,本发明涉及乳头杯。说明了乳头杯和乳头杯衬套。乳头杯衬套(3)适合于设置在外壳(2)中，以便形成待加到动物的乳头上的乳头杯(1)。乳头杯衬套(3)限定长度轴线(4)和用于容纳乳头的内部空间(5)，并包括筒体(8)和用于容纳乳头的上面头部，其中筒体(8)具有末端部分(12)，主接合件(13)设置在所述末端部分(12)上。乳头杯衬套(3)包括阻碍件(15)，所述阻碍件(15)设置在主接合件(13)远离上面头部(6)的这侧上，同时阻碍主接合件(13)弯曲远离上面头部(6)，其中阻碍件(15)具有比接合件(13)更小的从长度轴线(4)垂直于长度轴线(4)的延伸部分。
具有吸振特性的乳头橡胶,本发明涉及一种应用在挤奶杯上的乳头橡胶，该乳头橡胶具有一带有动物乳头引入口的头部件。所述头部件连接有一柄部件。在头部件下面设有保持边缘，该保持边缘与柄部件相隔开地包围该柄部件。按照本发明的乳头橡胶的突出之处在于，所述保持边缘在其内表面上具有至少一个大致在保持边缘的周向方向上延伸的凹部，所述凹部优选与套筒的端面相对地形成。
挤奶系统、真空源和提供真空的方法,本发明提供可控真空源。本发明涉及一种用于通过管道向至少第一真空排管提供真空的真空源，该真空源包括至少第一真空泵和第二真空泵。所述真空源包括控制系统，该控制系统适于检测消耗的气流，并且适于基于所述检测到的气流来控制所述第一真空泵和第二真空泵中的每一个的运转。
吸乳杯及吸乳杯部件,本发明涉及吸乳杯部件而吸乳杯附接于动物乳头上。吸乳杯包括吸乳杯部件(1)和连接部件(2)。吸乳杯部件可拆卸地安装到连接部件作。吸乳杯部件(1)包括外壳(3)和具有上开口(5)和下开口(6)的吸乳杯衬垫(4)。衬垫形成的内部空间(11)可容纳穿过上开口(5)的乳头，衬垫与外壳之间有脉动室(12)。连接部件包括乳液排放构件，可排出吸乳杯中的乳液，乳液通道延伸在衬垫的内部空间的下开口与乳液排放构件之间。连接部分还包括脉动供给构件，可向脉动室提供脉动压力，在脉动室与脉动供给构件之间设有脉动通道。
挤奶杯衬套，其制备方法以及含该衬套的挤奶设备,本发明的挤奶设备至少包括容纳乳头的柔性套管，用于放置在乳头上。其第一部分包括选自热塑性弹性体(TPE)的材料，所述弹性体由ISO?18064限定，其第二部分包含选自热塑性材料的材料。制备挤奶设备尤其挤奶杯衬套的方法，是在两个或多个步骤中进行的成型方法。在第一步骤中，将热塑性材料优选聚丙烯(PP)或者聚酰胺(PA)注入到模具中，所述模具仅仅限定该设备的显示出较高刚性或刚度的那些部分，比如连接件.刚性部分从模具中脱模，并置于第二模具中，在第二模具中注入合适的TPE作为第二成型步骤。如果设计需要，可以执行其它步骤。
一种获得褪黑素含量高的原料乳的方法,一种获得褪黑素含量高的原料乳的方法，它涉及一种提高原料乳中褪黑素含量的方法。本发明解决了现有提高原料乳中褪黑素含量方法存在的原料乳中乳糖含量低的问题。本发明获得褪黑素含量高原料乳的方法如下：泌乳期的奶牛饲养根据光照强度分为光照期、黑暗期和采奶期，即得到褪黑素含量高的原料乳。本发明原料乳中褪黑素和乳糖的含量均较高。
用于挤奶设备的电动脉动器,电动脉动器(100)包括主体(101)和用于将脉动通道(206)交替地连接于第一管道(182)，第一管道(182)连接于负压源和与大气相通的第二管道(144)。这些装置包括：容纳在主体(101)的第一支座(196)中的第一弹性隔膜阀(212)，用于关闭或打开将第一管道(182)连接于脉动通道(206)的第一孔隙(201)；容纳在主体(101)的第二支座(221)中的第二阀(220)，用于关闭或打开将第二管道(144)连接于脉动通道(206)的第二孔隙(222)；以及电磁阀(111)和相对管道(186，192，266)，用于将第一支座(196)连接于第一管道(182)或大气。第二阀(220)连接于第一隔膜阀(212)，以便跟随其移动。当在其静止状态时，第一隔膜阀(212)关闭第一孔隙(204)，而第二阀(220)被打开。脉动器也可以为双重型(100)。
衬管接触的自动乳头浸液施加器,本发明涉及一种乳头浸液施加器和引导乳头浸液到乳头杯衬套头的方法，该所述衬套头限定了腔和喷嘴，浸液通过该喷嘴以在挤奶装置从产奶动物离开之前和离开过程中涂到动物乳头上。
在挤奶系统中建立需要的真空度的方法,本发明涉及在挤奶系统中建立需要的真空度的方法，所述挤奶系统包括至少两个速度可变的真空泵（P1）、（P2）。该方法包括以下步骤：使用第一速度可变的真空泵（P1）在挤奶系统中建立需要的真空度；监控挤奶系统内的真空度需求，并且当挤奶系统的真空度需求使得第一速度可变的真空泵（P1）的速度达到第一速度阈值时，启动第二速度可变的真空泵（P2），并且并行运行所述第一和第二速度可变的真空泵（P1）、（P2）来建立需要的真空度。本发明还涉及计算机程序产品。
奶杯内套,本发明涉及一种奶杯内套(2)，其适于被安装在壳体(3)中以形成应用于动物的乳头的奶杯，还涉及一种安装奶杯内套的方法。该内套限定用于容纳乳头的内部空间(4)和纵向中心轴线(x)。该内套具有头部(8)、管形桶部(9)、以及管形下部(15)，该管形下部(15)限定具有垂直于所述中心轴线的截面区域的奶道(4’)。所述管形下部具有被所述壳体的次接合构件(17)接合的主接合构件(16)。该内套包括把手构件(30)，该把手构件(30)从所述管形下部延伸以当该内套被安装时被操作者握紧。所述把手构件限定拉力将要被施加在其上的力作用区，并且沿所述中心轴线观察时，该力作用区位于所述截面区域之内。
具有多个挤出线的单电动机挤出头及其使用方法,本发明公开一种挤出头(20)，所述挤出头(20)包括至少一个驱动轮(51)和可定位在至少第一状态和第二状态之间的组合件(50)。组合件(50)包括第一挤出生产线(58)，所述第一挤出生产线(58)设置为当所述组合件定位在第一状态时接合至少一个驱动轮(51)；和第二挤出生产线(60)，所述第二挤出生产线(60)设置为当组合件(50)定位在第二状态时接合至少一个驱动轮(51)。
流体涂敷系统和方法以及挤奶系统和方法,一种用于在对牲畜(12)进行挤奶之后向该牲畜的各乳头自动涂敷流体的流体涂敷系统，包括流体输送装置，该流体输送装置包括多个涂敷器(17)，其中每个所述涂敷器被设置为与相应的奶杯(13)相连，并被提供为向所述牲畜的与所述奶杯从所述乳头上脱离相关的乳头涂敷所述流体，所述相应的奶杯在对所述牲畜进行挤奶的过程中被联接到所述乳头。所述控制装置(30)被提供为(i)在奶杯从乳头上脱离时，确定该脱离是正常脱离还是非正常脱离，和(ii)在所述奶杯从所述乳头上脱离时，控制被设置为与该奶杯相连的所述涂敷器在该脱离是正常脱离的情况下涂敷所述流体，在该脱离是非正常脱离的情况下不涂敷所述流体。
衬管接触的自动乳头浸液施加器,本发明涉及一种乳头浸液施加器和引导乳头浸液到乳头杯衬套头的方法，该所述衬套头限定了腔和喷嘴，浸液通过该喷嘴以在挤奶装置从产奶动物离开之前和离开过程中涂到动物乳头上。
工业化生产奶酪干的加工设备及方法,本发明涉及食品加工机械技术领域，公开了一种工业化生产奶酪干的加工设备，包括浓缩罐机组和位于浓缩罐机组右侧的电油加热炒锅机组。本发明还公开了一种利用上述加工设备进行奶酪干加工的方法。本发明的设备适合工业化生产，可以通过使用浓缩罐机组和电油加热炒锅机组，用真空浓缩和自动化的翻炒装置代替传统的人工操作；采用真空浓缩方式，提高了浓缩效率，缩短了生产时间，降低了能耗；采用电油加热炒锅设备，提高了产品生产的标准化程度，保障了产品质量的稳定性；本发明使得加工自动化程度提高，加大了生产能力。
"乳头杯和输奶管组合,联接器和监视输奶管完整性方法",本发明涉及乳头杯(100)和柔性输奶管(40)的组合。柔性输奶管(40)包括用于使奶从乳头杯(100)中排出和用于在乳头杯(100)中施加真空的主导管(42)和多个辅助导管(44)。主导管(42)由围绕主导管(42)延伸的导管壁(46)限定。所述多个辅助导管(44)包括在主导管(42)的导管壁(46)中。通过将多个辅助导管(44)包括在主导管(42)的导管壁(46)中，柔性输奶管(40)总体上具有比已知输奶管更小的横截面。多个辅助导管(44)不再需要分开的导管壁(46)，所述导管壁形成与包括主导管(42)的柔性输奶管(40)相连或不相连的分开的管。这使得空间节省。
管形元件及其制造方法,本发明涉及一种管形元件(9)和一种制造该管形元件(9)的方法。所述管形元件(9)具有内部空间，该内部空间形成用于引导奶液的通道，其中所述管形元件(9)包括：构成该管形元件(9)的主要部分的第一材料部(9a)，以及包含适于向该管形元件(9)的内部空间供给空气的通气通道(9b)的附加材料部(9b)。所述第一材料部(9a)和所述附加材料部(9b)在接触区域(9d)被彼此固定地连接，使得所述材料部(9a，b)形成整体式单元。
一种均化阀,本发明涉及均化阀(1)，其包括两个或多个加压、可移动的阀锥体(5)、两个或多个阀门座(6)和围绕该阀锥体(5)和该阀门座(6)的阀套(2)。该阀锥体(5)和该阀门座(6)设置为在它们之间存在喉部，其构成均化间隙(7)，该间隙具有间隙高度h。该均化间隙(7)设为相对水平面有一定角度。该均化阀(1)意在用于现有的均化器并且特别制造以能够获得对在低压、高流量条件下处理的液体(例如，巴氏杀菌的牛奶)的有效均化。
具有可封闭腔室的奶采集件,本发明涉及一种奶采集件，其包括具有至少两个入口连接管(4，5)的壳体上部(2)和具有至少两个腔室(8，9，18，19)的壳体下部(3)，所述腔室均经由出口(10，11，16，17)与出口连接管(25)流体连接。
用于在挤奶过程中测量动物产奶量的设备和方法,本发明涉及一种用于在挤奶过程中测量动物产奶量的设备，其包括：容器、供给单元、排出单元、充填水平测量装置、控制单元和估算单元。供给单元构造为向容器供给奶以及可连接到挤奶机的挤奶单元。排出单元构造为从容器排出奶以及可连接到挤奶机的挤奶管路，挤奶管路适于具有施加到其上的挤奶真空。排出单元包括用于改变排出开口的尺寸的部件，当奶从容器排出时，奶流过该排出开口。允许奶流过的排出开口可调节到至少两个尺寸。充填水平测量装置构造为测量容器内奶的充填水平。控制单元构造为：根据由充填水平测量装置确定的容器内奶的充填水平而控制用于改变排出开口的尺寸的部件，以调节排出开口的尺寸而使得充填水平保持在预定范围。估算单元构造为基于排出开口的设定尺寸和由充填水平测量装置测得的充填水平来计算进入容器的奶流量。
软管联接件,本发明公开了一种软管联接件(100)，其基于设计方法可设置有少量的单个部件(100A、100B、100C)，使得：在操作期间可实现高可靠性，在联接和解除联接期间可实现简单的处理。在无需任何可动部件的情况下，软管联接件特别地可以通过在小角范围内转动而被锁定。在某些示例性实施方式中，软管联接件(100)用作农业部门中的例如乳液线路等流体管道中的联接件。
挤奶设备,本发明提供了一种挤奶设备，包括：具有布置于其上的至少一个挤奶杯支架(26)的框架(10)，所述挤奶杯支架具有相对于其运动的挤奶杯(28)，与所述挤奶杯相连的更换装置(60)，其中，所述框架还包括中间臂(30)和弹簧(66)，所述中间臂与所述框架和挤奶杯支架相连且具有第一接头和第二接头，所述挤奶杯支架和中间臂(30)可借助于更换装置(60)分别围绕所述第一接头和第二接头倾斜，所述弹簧与所述挤奶杯支架和框架相连，以及如果希望的话与所述中间臂相连。因此，本发明提供了防止挤奶杯(28)受杂质污染并且能够以紧凑方式储存的挤奶设备。
具有分配单元的挤奶杯清洁装置,本发明涉及一种具有分配单元的挤奶杯清洁装置，所述分配单元具有用于清洁流体的入口(4)和至少两个出口(5)。所述分配单元具有稳定室(6)和分配室(7)。所述稳定室(6)通过开口(8)和分配室(7)连接。所述入口(4)通入所述稳定室(6)。清洁流体从分配室(7)离开通过通道(9)到达出口(5)。
一种用于清洗乳头清洁设备的清洗系统,本发明涉及一种用于清洗乳头清洁设备的清洗系统。所述清洗系统包括入口通道(14)、返回通道(15)和循环装置(16)，所述入口通道(14)适于将清洗液输送到所述乳头清洁设备的至少乳头清洁构件(1)，所述返回通道(15)适于使清洗液从所述乳头清洁设备再循环到所述入口通道(14)，使得分离的闭合流动回路被形成用于所述清洗液，所述循环装置(16)适于在所述乳头清洁设备的至少所述乳头清洁构件(1)的清洗工序期间使所述清洗液在所述分离的闭合流动回路中循环。
挤奶杯清洗装置及其相关方法,挤奶杯清洗装置，包括：一加热腔室(2)，其设置有可利用阀(4)闭合并布置成连接到挤奶杯的排放口(3)，一填注装置(20)，其用于给加热腔室(2)填注一定量的清洗液(11)，和加热装置，其布置为对加热腔室(2)的容纳物进行加热，其中，填注装置(20)布置为给加热腔室(2)填注如此数量的清洗液(11)，使得在加热腔室(2)已经利用阀(4)闭合和清洗液(11)加热到高于环境压力下清洗液的沸点Tk的温度T的情况下，阀(4)布置为在该情况下打开，在加热腔室(2)中将存在处于液态的清洗液(11)，挤奶杯清洗装置包括位于液体供给装置和排放口之间的连接管线。
牛奶用软管和包括该软管的挤奶单元、挤奶杯及挤奶器,本发明涉及一种挤奶单元，包括牛奶采集器和至少两个与牛奶采集器连接的牛奶用软管。牛奶用软管(3)在至少一个端部具有基本上做成球形的夹持体(7)，其中夹持体的中心偏离牛奶用软管(3)的纵轴线(S)，和/或夹持体(7)具有包括排出口(9)的通道(42)。纵轴线(S)以一不等于90°的角度穿过排出口(9)横截面所处的平面。
用于给动物挤奶的旋转室,本发明涉及一种用于给动物挤奶的旋转室。所述室包括旋转平台单元(3)和存储装置(11，24，25)，所述存储装置(11，24，25)连接到所述平台单元(3)并适于将很多奶杯(2)保持在预定停放位置。所述存储装置(11，24，25)被支撑机构支撑，所述支撑机构包括适于将所述存储装置(11，24，25)在操作位置与非操作位置之间移动的提升机构(20，22，30)，在所述操作位置，所述存储装置(11，24，25)将停放的奶杯(2)的至少一部分保持在比所述平台单元(3)的上表面(3a)的最低水平高度(3a’)高的水平高度，在所述非操作位置，所述存储装置(11，24，25)和所述停放的奶杯(2)均位于比所述平台单元(3)的上表面(3a)的最低水平高度(3a’)低的水平高度上。
用于生产帕斯塔菲拉塔奶酪的凝乳揉捏设备,该设备包括从上游入口端(23)向下游出口端(24)向下倾斜的揉捏通道(12)，上游入口端(23)打开以接收所要揉捏的凝乳，下游出口端(24)打开以卸载凝乳。一对相反的螺旋推进器(14、16)可枢转地并排支承在揉捏通道(12)内并操作地连接到电动机装置(18)以沿相反方向转动并将凝乳移动到下游端(24)。第一蒸汽吹送装置(25)朝揉捏通道(12)开放。具有各摇臂的揉捏腔(27)布置在揉捏通道(12)的出口端以接收从通道卸载的凝乳。
挤奶数字化智能型电子计量系统,本发明公开了一种挤奶数字化智能型电子计量系统，其包括有计量器、显示控制器、吸乳器和上位管理机，显示控制器的数据输出端与上位管理机连接，显示控制器的控制输出端与吸乳器的控制端连接；计量器的内置式霍尔传感器的数据输出端与显示控制器连接，显示控制器的控制输出端与计量器的双向控制阀的控制端连接。优点在于：降低了空气及负压切换时产生的振荡，牛奶均匀地流到瓶内，提高了计量检测的精度；计量准确、响应速度快、结构简单、操作方便、维护方便、可在线设置参数，自动显示挤奶量与管理信息，通过上位管理机大量的信息存储，方便了奶牛饲养的管理，适宜各种规模的奶牛养殖地的挤奶自动计量，经济适用。
用于自动清洁旋转挤奶平台的挤奶机杯的装置,本发明涉及一种用于自动清洁旋转挤奶平台(2)的挤奶机杯(7)的装置。所述平台(2)包括多个被提供有挤奶机杯(7)的挤奶隔间(3)。所述装置包括被布置在所述平台(2)一侧的清洁设备(10)，该清洁设备(10)适于所述挤奶隔间中的至少所述挤奶机杯(7)。
带有流控制器的奶管圆顶,一种挤奶器单元内衬圆顶(22，300)，其具有内表面(302)和接合至内表面(302)的导流器(314，320)，用于将来自入口(366)的奶头消毒液重新定向以实现在奶头上更为均匀地覆盖消毒液。该内衬圆顶(22，300)还可以包括多于一个用于对奶头消毒液流重新定向的导流器(314，320)。
再制干酪制造装置,干酪成形装置(3)在冷却从融化干酪供给装置(2)提供的融化干酪(51)的同时成形片干酪(52)。干酪成形装置(3)包括冷却带(11、12)和脱模剂喷雾装置(41)。冷却带(11、12)被配置成相互平行以形成用于融化干酪流入的空间(S1)。流入到空间(S1)的融化干酪(51)被冷却以被固化并且成形为片干酪(52)。脱模剂喷雾装置(41)对冷却带(11)的外周面中的不与另一冷却带(12)相对的部分表面喷射脱模剂。在空间(S1)中，包含脱模剂的滑层(61)位于片干酪(52)与冷却带(11)之间。当片干酪(52)移动到空间(S1)之外时，片干酪(52)容易地从冷却带(11)被剥离。
用于自动奶品动物挤奶器单元反冲器的安全阀,一种用于奶品回冲和浸液系统的安全阀（60）。该安全阀位于挤奶器单元（40）上或靠近挤奶器单元（40），以密封和保护下游的奶品场奶线路（41），从而防止通过安全阀供给到上游挤奶器单元组件的乳头浸液和清洗流体进入其中。包括浸液、清洁剂、水和空气的所有流体都穿过安全阀，并受到安全阀控制。
接口件通气的挤奶杯内套,一种挤奶杯内套，包括接口件，接口件具有允许环境空气在奶头下末端上方有限制地进入内套筒的通气孔。一个或多个气流通道通过筒的配置形成并且沿筒的长度延伸，以将空气从接口件排送至短奶管。该一个或多个气流通道可形成在横截面上呈多个侧部的筒的侧部之间。
奶量计、奶量测定方法和挤奶装置,奶量计(1)具有：计量容器部(2)，其与送奶管路(Lm)的中段连接且能储存从流入口(2i)流入的奶(M)；液面检测部(3)，其对储存在计量容器部(2)的内部的奶(M)的液面(Mu)进行检测；以及阀机构部(4)，其能够开闭计量容器部(2)的流出口(2e)，在构成该奶量计(1)时，在流出口(2e)的下游侧设置气液混合缓冲室(Rd)，该气液混合缓冲室具有能储存通过阀机构部(4)的开闭而从流出(2e)流出的至少一次份的奶量的容积，并且在该气液混合缓冲室(Rd)设置奶送出口部(6)，该奶送出口部具有使奶(M)以预定流量(Qf)以下的流量流出并将所述奶与计量容器部(2)的内部的空气(A)混合后送出的送出口(6f)。
自动奶品动物挤奶器单元反冲器和乳头浸液施加器系统,一种用于清洗奶品动物挤奶器单元（14）并用于施加浸液到奶品动物的系统，该系统包括：主控制器（26）；空气供给源（25）；水供给源（29）；反冲流体供给源（28）；浸液供给源（30）；用于接收空气、水、反冲流体和浸液供给的厩控制器（36）；和，与挤奶器单元（40）的下游部分相邻以控制被供给到挤奶器单元的反冲和浸液流体的安全阀（60）。
用于干酪的设备,本发明涉及一种用于干酪的设备(1)，包括：适于接纳烘烤容器的底板(4)；电阻(5)，设置为在所述烘烤容器位于该底板(4)上时处于该容器上面；支撑结构(6)，竖直延伸超过该电阻；和可拆卸罩(3)，适于安置在该支撑结构上并且适于包裹该电阻(5)以便防止使用者接触电阻。根据本发明，该用于干酪的设备(1)包括允许将该罩(3)固定至该支撑结构(6)的可释放锁定装置(26)。
挤奶设备,本发明提供了一种挤奶设备，包括：具有布置于其上的至少一个挤奶杯支架（26）的框架（10），所述挤奶杯支架具有相对于其运动的挤奶杯（28），与所述挤奶杯相连的更换装置（60），其中，所述框架还包括中间臂（30）和弹簧（66），所述中间臂与所述框架和挤奶杯支架相连且具有第一接头和第二接头，所述挤奶杯支架和中间臂（30）可借助于更换装置（60）分别围绕所述第一接头和第二接头倾斜，所述弹簧与所述挤奶杯支架和框架相连，以及如果希望的话与所述中间臂相连。因此，本发明提供了防止挤奶杯（28）受杂质污染并且能够以紧凑方式储存的挤奶设备。
电脉动挤奶机的电子控制器,本发明公开了一种电脉动挤奶机的电子控制器，该控制器不仅包括电源电路，电子开关电路，负载短路保护电路，还包括由集成电路IC1的第五、第六两个非门和场效应管BG1组成的12V工作电源保护电路。本发明使用六非门的集成电路做IC1，用IC1的第一、第二非门与电阻R3、电阻R4，充放电电容C3、电容C4组成方波发生器；用IC1的第三非门做隔离级，IC1的第四非门做反相器，完成另一路交替脉动信号输出；用IC1的第五、第六两个非门和场效应管BG1组成工作电源保护电路，对三端稳压电源L7812和电阻R1实施保护，可以有效的克服因三端稳压电源L7812和电阻R1温度持续过高导致整机电路板烧毁的问题，控制器的工作性能和工作效率都能得到进一步的保证和提高。
在容器内沥干干酪的沥干装置,本发明涉及一种沥干装置，该沥干装置包括收纳穿孔内容器(2)的外容器(1)，外容器(1)可在低位置和高位置支撑穿孔内容器(2)，穿孔内容器(2)具有至少两个外部侧面凸起部(22)，当穿孔内容器(2)处于高位置时，外部侧面凸起部(22)能够抵靠在外容器(1)的支撑部件(16)上。根据本发明，外容器(1)具有上开口(17)，上开口(17)在外容器(1)的内部、在所述支撑部件(16)之间设有至少两个侧凹陷部(12)，所述侧凹陷部(12)被设置用于当穿孔内容器(2)处于低位置时至少部分地容纳所述外部侧面凸起部(22)。
抓取器、挤奶机器人及挤奶装置,一种包括具有抓取器（10）的挤奶机器人的挤奶装置。所述机器人包括底座、连杆机构，所述连杆机构被附接到所述底座并通过底座接合部围绕底座轴线能旋转。所述抓取器（10）具有近端和远端，并在所述近端处被附接到所述连杆机构。所述抓取器具有延伸平面和在所述延伸平面内延伸通过所述近端和所述远端的纵向中心轴线（x4）。所述纵向中心轴线将所述抓取器分隔成主侧（10a）和副侧（10b）。所述抓取器具有多个单独的抓取凹部（11-14），每一个抓取凹部均被配置为抓取对应的奶杯。所述抓取凹部相对于所述纵向中心轴线非对称地定位。
用于至少清洁挤奶杯的头部部分的清洁装置,本发明涉及一种用于至少清洁挤奶杯的头部部分的清洁装置，所述清洁装置包括一横截面基本为圆形的腔室，所述腔室由壁界定，具有由密封元件界定的开口，其中所述腔室具有至少一个进口，其特征在于，所述密封元件的至少一个部段或所述壁的至少一个与所述开口相邻的壁部段与所述密封元件的一部段设计成基本上在所述腔室的周向方向上具有弹性。
