名称,摘要
大豆杂交种制种方法,本发明涉及农作物杂交种制种技术，具体为大豆杂交种制种方法。该方法包含大豆雄性不育的母本和恢复系父本的选取和父本、母本的播种，大豆的父本、母本播种的同时套种蚕豆。用蚕豆作为引诱作物可加快花蓟马的繁殖量，以此来提高制种田的虫口密度，从而提高制种的异交率。本发明通过自然引诱繁殖昆虫的方法，选择人工田间赶粉方式，采取保护和恢复大豆制种田传粉昆虫等一系列技术措施，使大豆杂交种制种技术达到高效化、规模化和成熟化。亩制种产量达50公斤以上，比其它制种方法高20公斤以上，制种成本下降5-8倍，省资、省时、省工、省力，所产的大豆杂交种在有播种大豆条件的地区均可使用，适合大面积、规模化推广。
玉米植株再生方法以及用于该方法的培养基,本发明涉及植物生理学领域，具体涉及一种玉米植株再生方法，该方法包括下列步骤：a)在含有诱导剂的培养基中培养玉米幼胚；b)在幼胚形成微芽结构后但未形成愈伤组织前，将形成的微芽结构转移到含有细胞分裂素的培养基中培养，形成小苗；和c)将形成的小苗转移到含有植物激素的培养基中使其长根形成完整植株。该方法能大大缩短玉米植株再生所需的时间。本发明还涉及一种用来将上述微芽结构培养成小植株的培养基。
产生化学保护性的十字花科植物种质的方法,产生具有高水平癌症化学防护剂的十字花科植物种质(尤其是嫩茎花椰菜种质和花椰菜种质)的方法，包括根据芥子油苷分布型筛选植株群体，并选择具有提高的烷基芥子油苷/吲哚芥子油苷比例的单株。用所选定的植株的随后培育产生具有所需芥子油苷分布型的变种、系以及植株。通过以限制的水体积萌发种子，培养十字花科植物的籽苗以增强所述籽苗的化学防护活性的方法。产生十字花科植物种质的方法，所述十字花科植物种质产生种子物质渗漏降低的种子，所述方法包括根据产生渗漏降低的种子筛选植株群体并选择产生这样的种子的单株。
一种利用超声波促进杂交反应的方法及装置,一种利用超声波促进杂交反应的方法及装置，该方法及装置利用超声波发生器产生一定强度的超声，将准备好的杂交反应体系置于超声波传播途径中，利用超声波的高频振动及辐射压力在杂交反应体系的液体介质中形成有效的搅动与流动，通过液体的流动带动其中反应分子的运动，从而促进杂交反应的进行。本发明可显著提高杂交信号的强度，更快地达到完全反应状态，缩短反应时间；并使固体基质表面不同位置的杂交反应更趋一致，提高杂交信号的均匀性及杂交反应的特异性。其装置结构简单，成本低廉，核心元件仅有超声谐振元件和相应谐振电路，操作简便，易于实现自动化。本发明可应用于Southern、Northern及基因芯片等各种杂交反应体系。
快速杂交装置及方法,本发明提供了一种快速杂交的装置，包括一用于承载基质的容器，及一电场产生装置，其中该电场产生装置包含一电源调控器以及至少一片置于该容器上方或下方的电极板，藉此产生一可改变方向且至少涵盖该容器的电场。本发明另提供一种快速杂交的方法，包括施予一方向向上之面电场于杂交反应物质，归零该电场，最后改变电场方向成为一方向向下的电场，藉此吸引或排斥核酸，以加速杂交反应。本发明可加速杂交的反应速率，大幅降低反应时间，并兼顾反应的专一性与机会均等。
一种应用铁皮石斛激素自养型茎尖培养生产药材的方法,本发明属生物工程技术领域。具体涉及一种激素自养型铁皮石斛茎尖大规模培养生产药材的新方法。本发明以野生铁皮石斛为原始材料，获得铁皮石斛茎尖无菌培养系，对茎尖进行诱导培养，建立了适合大规模生产的激素自养型茎尖培养系统，培养物的主要有效成分等于或高于野生铁皮石斛，二者均具有提高机体非特异性免疫功能和细胞免疫功能。
一种玉米杂交种的制种方法,本发明是利用雄性不育“三系”配制玉米杂交种豫玉22号的种子生产技术，是发明人通过遗传育种技术将该杂交种的亲本自交系综3和87-1分别转育成为El型不育胞质背景的雄性不育系(命名为Cms-El综3)和恢复系[命名为Cms-El 87-1(Rf)]。不育系的不育株率达到99.9％，恢复系的恢复株率达到100％，恢复度达到正常水平。采用Cms-El综3×Cms-El 87-1(Rf)的种子生产程式配制豫玉22号，完全免去了制种过程的的人工去雄工序，节约了大量人力资源并能提高种子质量，其农艺性状、抗性、适应性与用常规法生产的豫玉22号相同。
一种微胚乳超甜超高油兼用型玉米育种方法,本发明涉及培育玉米新品种的方法。利用二或二以上相同的、其互作可产生微胚乳的双或多隐性纯合体作亲本，进行彼此间的杂交，获取微胚乳超甜超高油兼用型玉米新品种。用本发明方法培育的玉米品种，其籽粒油分含量高于20％，含糖量不低于一般超甜玉米。
编码杀虫性晶体蛋白的核苷酸序列及其应用,本发明提供了为在植物(尤其是玉米)中表达而优化过的合成DNA序列，该序列编码对特定昆虫有毒的苏云金芽胞杆菌蛋白质。还提供了对任何合成的杀虫基因在玉米中进行工程化改造的方法。
一种构树的人工培植方法,本发明涉及一种构树的人工培植方法，使用组织培养法繁育种苗，采用无菌操作方式，截取所述构树嫩枝顶端胚芽，截取胚芽长度为0.3-0.5厘米，将截取的胚芽接种于培养基中进行培养，第一周暗光培养，第二周开始日光光照下培养，培养的环境温度为20℃-30℃；当所述的胚芽发育成约5厘米高小植株后，将其移入营养钵中继续培养20-30天，将其植入大棚苗圃继续培养，植株的行距10-15厘米，当所述植株高度达到30-50厘米后育苗完成；将所述植株移出苗圃，进育林期栽种，植株的行距1-1.5米，每亩育林田可栽种400株构树，所述的育林期为2-3年，当所述的育林期结束后，进入采摘期。
无籽番茄及其生产方法,本发明涉及基本上无籽的番茄。本发明的番茄是通过将作为雄性亲本的含有至少一个单性结实基因的番茄植株与作为雌性亲本的含有至少一个单性结实基因的雄性不育番茄植株杂交产生的。由此杂交产生的番茄基本上无籽。
兰州百合的快速繁殖方法,兰州百合的快速繁殖方法，选取兰州百合鳞片、叶和根的切段，采用外植体消毒后接入含不同植物激素的培养基，诱导产生芽，继代培养后移入生根培养基，当试管苗高约3-5厘米时移栽入种植炼苗基质，鳞片不定芽的诱导和快繁培养基为MSBA2mg/L、NAA0.2mg/L，根、叶诱导和繁殖培养基为MSBA2mg/L、NAA0.4mg/L，试管苗生根培养基为1/2 MSNAA0.3mg/L，温度27±2℃，光照强度2000LX，光照时间12h/d，pH为5.8。
一种高效生产马铃薯试管薯的方法及其培养盒,快速繁殖马铃薯试管薯的方法及其装置，属于生物工程技术领域。以组织培养的脱毒马铃薯无病毒试管苗为材料，采用MS培养基，在光暗条件诱导、培养下获得试管薯种，其特征在于：采用改良的MS培养基，不含任何生长物质，蔗糖浓度为6％-10％，置于培养盒内液体培养，光强为2000-3000lux，每天光照8小时左右，根据品种结薯对短日照的敏感特性进行光照调节，解决了不同品种在试管薯诱导上的差异。设计了一种专用于试管薯培养的培养盒，该盒由下筒体和盒盖构成，盒盖上设计了既利于通气又利于无菌培养的透气柱。本发明的单位面积生产效率提高了3倍；周期从原来的3个月缩短为2个月，每年可生产5-6次。单位面积培养室年生产试管薯可达10万-20万个。
一种生产株性稳定的番木瓜组培苗的方法,一种生产株性稳定的番木瓜组培苗方法，涉及通过组织培养技术的植物再生方法。它是采用选株→外植体无菌消毒→接种子初代培养基上→诱导不定芽发生→切取不定芽转入继代培养基中增植培养→不定芽转入生根培养基中诱导不定根发生→形成具有根、茎、叶的完整番本瓜组培苗→假植→移植于营养杯→组培苗大田种植的方法，本方法培育出的番木瓜植株株性稳定率可达100％，即可按客户要求工厂化生产出100％的两性株或100％的雌性株番木瓜组培苗。
一种选育强耐冷水稻新品种的筛选方法,本发明公开了一种选育强耐冷水稻新品种的筛选方法，以野生稻为母本，栽培稻粳稻为父本，进行有性杂交，将获得杂种(F0)进行种植，收获的F1种子，培养出二叶一心，在冰箱或生物培养箱-2～+1℃处理48～72小时后，放在室内常温下恢复5～1 0天，活苗移栽到大田，生长成熟后，留蔸在自然低温-5～+1℃下越冬筛选，能过越冬的具有再生力的植株，在抽穗期间，再进行复交或回交，其后代又进行室内室外低温-5～+1℃处理筛选，系谱选择，最后获得强耐冷的新品种。本发明所述水稻筛选方法，由于“双重”低温加压法进行各世代筛选强耐冷株，减少了选育过程盲目性，增强了预见性，克服了远缘杂交后代尤其低世代大群体种植筛选的费工、费力、费时的弊端，大大地提高了育种效率。
日本落叶松微体繁殖的根诱导方法,本发明涉及一种日本落叶松微体繁殖根诱导方法。即选择日本落叶松无性系的1年生材料，经茎诱导完成后，采用生根培养基，以变温培养和继代繁殖相结合的方法，实现根器官的再生，步骤：1)材料的采集及预处理：水培两周，水温为常温；2)制备改良MS培养基；3)接种腋芽：将水培后芽苞发亮的枝条流水洗涤，剪下腋芽，消毒后通过无菌操作接种于茎诱导培养基中，完成不定茎的伸长生长阶段；4)诱导生根：制备生根培养基，再将所述不定茎转接于生根培养基中，进入根生长阶段；5)变温处理及继代培养：将步骤4)所述不定茎置于变温条件下，进行继代培养，完成根器官的再生。本发明能够加快日本落叶松优良种质材料的繁殖速度和种群数量扩增。
一种肾脏病及糖尿病人专用稻米品种的选育方法,本发明为一种肾脏病及糖尿病人专用稻米品种的选育方法，属于水稻新品种的选育。对稻米的贮藏蛋白含量、蛋白质成分、SDS-PAGE、SSR标记等分析，利用分子标记辅助选择结合SDS-PAGE、蛋白质含量测定等方法选育出水溶性蛋白含量低于4％的水稻新品种W3660，产量与越光持平。图1为W3660及其亲本的简单重复序列(SSR)指纹图谱。
大豆光敏雄性不育系的选育方法,本发明为大豆光敏雄性不育系的选育方法，包含种质的筛选、种质的纯合培育，种质选用本地土梅豆，自交培育纯合，种质纯合培育过程中，种质从出苗至8.3个叶龄期间，整个植株保证15-20天的每天不超过14小时的光照。大豆光敏雄性不育系有一系两用之特点，雄性不育系和雄性保持系是通过分期播种或异地播种来实现的，即通过光周期自然变化成功地解决了大豆雄性不育系保持的世界性难题，比三系繁殖不育系节省成本10-20％。该方法培育的大豆光敏雄性不育系恢复谱广，一般常规品种均可恢复育性，容易选到高优势组合，比三系杂交组合增产潜力高5-10％。本发明所述方法培育出的大豆光敏雄性不育系，对大豆杂交种的利用，真正达到了省时、省工、省资、省力的高效要求。
含有牛磺酸的螺旋藻及其生产方法,含有牛磺酸的螺旋藻及其生产方法，本发明的特征在于：所述的含有牛磺酸螺旋藻的干粉每公斤含有牛磺酸50-3000mg。含有牛磺酸的螺旋藻的生产方法，其特征为：在常规螺旋藻的生产工艺流程中，分别于藻种驯化、小池育种、中池扩养和大池养殖的阶段中在传统的“培养液”中添加牛磺酸。采用以上措施的本发明，螺旋藻干藻粉每公斤含牛磺酸一般都高达数百mg以上。本发明可以与适量的常规螺旋藻干粉配制成适合人体补充牛磺酸要求的含牛磺酸螺旋藻的保健品，也可以强化其他营养品，成为理想的保健和佐疗食品。
一种快速高效的玉米穿梭系谱育种法,本发明公开了一种快速高效的选育玉米自交系和杂交种的穿梭系谱育种方法，利用美国玉米带种质3163作基础材料，通过四川春夏季(北方正季)与海南秋冬季(南方反季)穿梭交替种植，4年育成优良玉米自交系K236，在海南选优株自交的同时，用花粉与测验种亲本48-2测交，经过多生态品比试验定选优良组合ZH002，参加区试和生产试验，经过5年育成玉米杂交种正红2号(48-2×K236)，本发明通过南北穿梭系谱育种，大大加快了自交系选育的世代进程和提高了杂交种选育的效率，一般只需3～4年即可选育出稳定的自交系，5年(S<SUB>1</SUB>测配)或6年(也可S<SUB>3</SUB>测配)即可育成杂交种，从而达到快速高效的选育目的。
具有隐性标记杂交水稻亲本及品种的选育方法,本发明涉及一种具有隐性标记杂交水稻的育种方法，引进、搜集并物理诱变稃色具有色彩标记的水稻品种资源，种植并人工杂交鉴定稃色遗传的特点后与杂交水稻亲本经杂交、回交转育、育性鉴定和测恢配组选出有隐性标记稃色的亲本，再进行选配组合、验证有效性，最终得具有隐性标记的杂交水稻亲本及品种。本发明实现了快速、简便、直观、准确鉴定杂交水稻种子的纯度，同时解决了机械化制种的难题，从而提高了制种产量，也降低了成本。
利用辣椒杂交种的花药培育近似杂交种的方法,本发明涉及利用辣椒杂交种的花药培育近似杂交种的方法，1.播种辣椒杂交种，在植株现蕾期取蕾做花药培养；2.花药培养获单倍体植株，经染色体加倍获原辣椒杂交种双单倍体品系；3.在众多双单倍体品系中，据主要经济性状与原杂交种近似性，选原辣椒杂交种可使用的亲本品系，配数个辣椒杂交种；4.对比试验选育成与原辣椒杂交种在诸多主要经济性状无显著差异的近似杂交种。采用花药培养技术使分离、筛选原辣椒杂交种亲本自交系成为可能，将其与辣椒杂交育种技术结合经比较、筛选可得与原辣椒杂交种近似杂交种。可据某辣椒杂交种分离、筛选可能使用的双亲育成近似杂交种。
地面模拟空间环境植物育种方法,一种地面模拟空间环境植物育种方法。先将待处理的植物种子或离体培养物置于模拟空间环境，经适宜周期处理后进行种植选育或培养。所述植物包括粮食作物、蔬菜和花卉。本方法为开展地面模拟空间环境诱变育种，进行品种改良提供了一种新的途径。
一种不结球白菜的品质育种方法,本发明涉及一种不结球白菜的品质育种方法。以矮脚黄自交不亲和系为母本，以苏州青自交系为父本配制杂交种，其杂交组合的叶片重/叶柄重比值为0.60～0.62，维生素C含量211.4～219.0mg/kg，干物质6.18～6.64g/100g鲜重，有机酸1.87～2.03g/100g鲜重，可溶性蛋白质0.39～0.41g/100g鲜重，可溶性糖19.95～21.41g/100g干重，粗纤维7.52～8.04g/100g干重；芜菁花叶病毒(TuMV)、炭疽病、霜霉病、黑斑病病指分别为17.20(R)、5.98(HR)、16.06(R)、13.96(R)；区域试验平均产量达85.3t/hm<SUP>2</SUP>。
简化栽培谷子品种选育及其配套栽培方法,本发明公开了一种简化栽培谷子品种选育及其配套栽培方法，主要内容是通过杂交、回交等育种手段，培育抗除草剂、不抗除草剂或抗不同除草剂的同型姐妹系或近等基因系，并按一定的比例混和，形成综合性状基本一致的混系品种，通过喷施特定的除草剂，能同时实现化学间苗、化学除草，解决谷子依赖人工间苗、人工除草的技术难题，实现简化栽培。采用本发明提供的技术方案，可将谷子栽培史上长期难以解决的人工间苗、除草的难题同时解决，实现谷子集约化栽培；大大提高劳动效率；提高谷子种子技术含量，促进谷种产业化发展；并对需要间苗的小粒作物具有借鉴意义。
一种耐贮藏水稻品种的选育方法,本发明为一种耐贮藏水稻品种(lox-3缺失)的选育方法，属于水稻新品种的选育。对稻米的lox-3缺失快速筛选、酶活性测定、SSR标记等分析，利用分子标记辅助选择结合lox-3缺失快速筛选、酶活性测定等方法选育出耐贮藏水稻新品种W017，产量达500公斤左右。图1为W017及其亲本的简单重复序列(SSR)指纹图谱。
培育具有降低的水分含量的番茄的方法及该方法的产品,本发明涉及培育番茄植物的方法，所述番茄植物结出具有降低的果实水分含量的番茄，所述方法包括以下步骤：将至少一种番茄(Lycopersicon esculentum)植物与一个番茄物种(Lycopersicon spp.)杂交以产生杂种种子，收集第一代杂种种子，从第一代杂种种子生长植物，给最近的杂种世代的植物授粉，收集由最近的杂种世代结出的种子，从最近的杂种世代的种子生长植物，使植物在过了正常成熟点后仍保留在藤上，筛选降低的果实水分含量，所述降低的果实水分含量由成熟果实的延长保存和果皮具皱(wrinkling)指示。
一种有毒甲藻纯种的分离、与大规模培养方法,本发明涉及Amphidinium klebsii的纯种分离途径、培养方法及其应用。具体地说是一种有毒甲藻的纯种分离与大规模培养的方法。海洋中能产生毒素的藻类约有60—78种，从目前的研究进展来看，甲藻毒素在研究癌症机理和开发抗癌、镇痛、麻醉、抗病毒、抗菌等各种治疗药方面有着非常广阔的应用前景。由于自然环境中有毒甲藻的细胞密度非常低，因而毒素原材料的来源困难，制约了它的应用。本发明的目的是研究一种有毒甲藻的纯种分离与培养方法。从自然水体中分离培养Amphidinium klebsii纯系，大幅度提高其增值率，达到该种的单种大规模生产的目的，以得到充足的原材料。
应用含有二糖和葡萄糖的培养基高产量生产合子样子叶型松树胚的方法,本发明提供生产子叶型松树胚的方法。本发明方法各包括在含有二糖和葡萄糖的培养基上或其内培养松树胚发生组织以产生子叶型松树胚的步骤，其中二糖和葡萄糖在培养基中的浓度都小于3％。本发明还提供根据本发明方法制备的子叶型松树胚。
一种提高杂交水稻产量潜力的方法,一种提高杂交水稻产量潜力的方法，它采用杂交和连续回交的方法将马来西亚普通野生稻(O.rufipogon)的高产基因yld1.1和(或)yld2.1导入杂交水稻亲本，借助于分子标记辅助选择(MAS)技术鉴定携带野生稻高产基因的植株，结合考察农艺性状和测交分析，筛选产量性状有所改善并杂种优势明显提高的植株，培育强优恢复系和创制育种新资源，并配制高产杂交水稻新组合。
黄花杓兰种子制备与快速筛选方法,黄花杓兰(Cypripedium flavum)是中国特有的兰科花卉植物，具有极高的观赏和开发价值。黄花杓兰的种子细小，数量巨大，一个蒴果的种子量可达4万粒，利用种子进行无菌萌发是目前杓兰幼苗快繁的主要途径。种子的质量是杓兰幼苗规模化快繁成功的保障，由于自然状态下黄花杓兰自然结实率低(0.1-3％)，受植株生理状态和环境变化的影响，自然结实的种子质量难以稳定，不能保证种子无菌萌发的需要。本发明针对这一必须解决的技术问题，提供了一种黄花杓兰优质种子培育与快速筛选方法。该方法为实现工厂化快繁而设计，具有稳定获得充足生产所用，质量优良的种子，种子质量检测快速，节约生产成本的优点。
一种抗虫绿色棉的选育方法,本发明涉一种彩色棉的选育方法，一种抗虫绿色棉的选育方法，具有如下步骤：a.选用苏棉9号为母本，绿1号为父本进行人工杂交后再自交二次，选育出绿47号；b.再以抗虫棉品种SGK321为母本，以绿47号为父本再进行杂交后，再自交二次；c.再在大田中选出优质的单株材料，经抗性鉴定自交纯化后育成抗虫绿色棉新品种绿DH209号。本发明的抗虫绿色棉新品种的选育方法技术先进，所育成的绿色棉品种的纤维品质优，可纺性强，已适应纺织工业的要求；色牢度较好，不容易变色；产量高；抗虫性好。
