名称,摘要
一种冲击压实稻田土体节约稻田用水的方法,一种冲击压实稻田土体节约稻田用水的方法，其特征是：在稻田收割后，泡田淹水之前，利用冲击压实方式来压实水稻耕作层以下土体，提高土体密实度以减少稻田中水的渗漏量，本发明能将稻田耕作层以下的土层压实，而使该耕作层的土层处于松散状态，以种植水稻，大大节约了稻田用水和压实土地的劳动，本发明适于稻田及水生作物的土地冲击压实，以节约用水。
步行式电动作业机,步行式电动作业机(10)包括一从作业机机体架(17)的后部向后延伸的操作手柄部(18)。操作手柄部(51)包括有一可拆卸地连接到设置在作业机机体架后部上的手柄支承部的手柄杆(122)，和一连接到手柄杆且具有左右把持部(70，80)的手柄(124)。右把持部(80)包括一工作准备杆(82)，且左把持部(70)包括一工作启动操作按钮(72)。用于驱动耕作爪(13)的电动机(11)响应工作准备杆和工作启动操作按钮的操作而启动。
具有前部转动工作单元的工作设备,本发明公开了一种前部转动的工作设备(10)，它采用了：一种直立式发动机(20)，这种发动机具有从发动机(20)的主体向下突出的一输出轴(21)；一传动箱(58)，设置在所说直立式发动机(20)的下面，并且具有大致平行于要被耕耘的土地表面的一平坦底侧(58a)。可以根据需要来减小连接在传动箱(58)的后端部分的一驱动轴(57)上的左、右行走轮(11)之间的距离。采用这种结构，就能减小所说的前部转动的工作设备(10)的总体宽度。
小型耕耘机的动力传递构造,一种可以谋求小型耕耘机小型化和轻量化的动力传递构造。在本发明的小型耕耘机的动力传递构造中，在原动机上连结从侧面看弯曲成大致ヘ字形的变速箱并与之连动，在该变速箱的前部配置行驶部，同时在变速箱的后部配置耕耘作业部，在原动机的输出轴上通过变速机构连结变速箱的驱动轴并与之连动，在该变速箱的驱动轴上分别连结用于驱动行驶部的车轴和用于驱动耕耘作业部的耕耘轴并进行连动，把原动机的动力从变速箱的一根驱动轴传递到行驶部及耕耘作业部上。
手扶式农用耕作机,连接机构(21)包括上面和下面的连杆(67、68)和一个控制单元(76)，上述上面和下面的连杆(67、68)在一端处枢轴式连接到机身上，而在另一端处连接到耕作装置(22)上，而上述控制单元(76)用于控制装置的下限位置。当装置在开始所希望的耕作之前处于接触土壤的位置时，各连杆靠近装置的端部比靠近机身的另一个端部位置更高。机构还包括一个底部件(63)、一个臂(66)、和一个连接件(71)，上述底部件(63)连接到机身上，上述臂(66)可垂直地枢轴式连接到底部件上，而上述连接件(71)连接到连杆的另一端上用于连接装置。装置通过臂与一个接合件(74)一起垂直地枢轴转动而垂直地活动，上述接合件(74)沿着底部件中所形成的一个窗(81)的边缘导向。
乘坐型水田作业机,提供一种乘坐型水田作业机，可在不损坏田地的情况下轻松地转弯，机体转弯和机体停止时的操作性优良。具备与转向联动机构的转向连杆驾驶盘的旋转操作联动，对与旋转内侧的后轮对应的侧部离合器进行分离操作的侧部离合器自动操作机构，该侧部离合器自动操作机构由第一操作杆和第二操作杆构成，第一操作杆的一端以联动方式连结在转向联动机构上，另一端连结在机体上沿上下方向设置的支点轴上，第二操作杆的一端连结在支点轴的上方，另一端连结在侧部离合器上，在枢轴支承后轮的后部传动箱的顶面上，以可绕纵轴线旋转的方式穿设有侧部离合器操作轴，在该侧部离合器操作轴上从后部传动箱向外突出的部分上连设的操作臂上连接设置有上述第二操作杆。
电动耕作机,在一种电动耕作机中，外壳/清洁箱(111)容纳耕作轴(12)和设置在耕作轴上的耕作爪(13)，且它具有可由机器主体(17)封闭的开口(118)。前后锁定部分(171、112)将机器主体锁定到外壳/清洁箱，使得耕作轴和耕作爪容纳在箱子中。当机器主体通过锁定部分被锁定在外壳/清洁箱中时，控制部分(102)将马达保持在可控制的操作条件下。
乘用型水田作业机,本发明的乘用型水田作业机包括支承在前车轴箱(110)上的前轮(2)、支承在后车轴箱(115)上的后轮(3)，所述乘用型水田作业机还包括分别独立悬架所述前轮(2)并且能够上下运动的伸缩支持机构(6)以及使所述后轮(3)以沿机身左右方向的横轴中心(a)回转可上下方向摆动的摆动支持机构(7)，所述后车轴箱(115)作为单一箱体设置，各所述后轮(3)安装支承在所述单一箱体上，所述摆动支持机构(7)的所述横轴中心(a)通过从所述后车轴箱(115)向前方伸出的支持臂(151)的前端延伸，以所述横轴中心(a)作为支点，所述后车轴箱(115)可上下自由摆动地连接支承在行走机身(1)上。
耕作机械及旋耕爪部件、旋耕爪安装装置及旋转耕作装置,一种耕作机械及安装在其上的旋耕爪部件、旋耕爪安装装置及正反转旋转耕作装置，将旋转保持体(3)可灵活转动地安装在主驱动轴(25)上并在旋转保持体(3)上安装多个耕作旋转体(73)。使旋转保持体(3)转动、将耕作旋转体(73)设定在必要的耕作位置上并将其固定在支撑框架(5)的后板部(6)上。主驱动轴(25)的旋转，通过保持板部(62)内的驱动传动机构传递给耕作旋转体(73)，各耕作旋转体(73)用离合器等只驱动传动需要耕作的旋转体。根据这样的结构，可以将多个耕作旋转体安装在耕作机械上并用简单的操作将必要的耕作旋转体设定于作业位置，能高效地进行一系列农活作业并且能简单地进行耕作旋转体的更换。
后部跟走式耕耘机,一种前转式耕耘机(10)，具有：多个耕耘齿(120)，这些耕耘齿被设置在主体(58)的前面；以及左、右驱动轮(11、11)。耕耘齿包括：设置在主体宽度中部的多个向前转动的齿(121，122)；设置在所述向前转动的齿的横向外侧的多个反向转动的齿(123)。从侧面看，这些反向转动的齿被设置在相同的相位，以便同时挖入土壤。
作业机,提供一种在发动机(11)的下面设有作业部(13)，并且具有配置在发动机前面的护板(46)的作业机(10)。该护板(46)具有用于覆盖该发动机前面部分的板状部(57)、与该板状部一体形成且从发动机的两侧延伸出来的延伸部(58、59)。板状部与延伸部覆盖发动机前面部分及两侧部分，因此，在作业中，可以保护包含发动机在内的本体部分免受树木、草及树枝等的影响。
山地拖拉机,本发明公开了一种山地拖拉机，包括发动机、变速箱、离合器、左右动力输出半轴、通过轴承套设在半轴外的左右连接管、左右传动部件、左右摇臂、与左右摇臂连接的左右驱动轮、用于驱动两驱动轮分别同步做上下位移运动的差高机构，差高机构包括差高控制器和差高器，差高控制器与差高器连接，差高器与左右连接管连接，左右连接管分别与左右摇臂连接，将左右摇臂安装在变速箱两侧，差高控制器控制差高器，通过左右摇臂带动左、右驱动轮上下位移。本发明结构简单，操作简便，可根据山地作业地面的凹凸状况，调整两驱动轮的高度差，使拖拉机的机身保持平稳，不致于倾斜、翻倒；也可以调整机身与地面的高度，适应不同的山地及丘陵地区的作业。
步行式电动耕作机,步行式电动耕作机(10)包括一电动机(11)、设置在耕作机机体架(17)上部的多个电池(31)、一传动机构(40)和一安装在耕作机机体架下部的耕作轴(12)。该耕作轴具有多个耕作爪(13)。该电动机具有一向下延伸的电机轴(11a)，传动机构刚刚位于电机轴的下面并与所述电机轴(11a)相连，且多个电池位于电动机周围和附近。多个电池和电动机位于靠近耕作机重心，刚刚在耕作爪的上方的位置处。
拖拉机的作业机械升降装置,一种拖拉机(100)的作业机械升降装置(1)，是外挂式的液压升降缸(2·2)配置在变速器箱体(4)的左右侧方，具有通过该缸的动作转动的升降臂(5·5)，还具有通过该升降臂的转动而上下转动、且与作业机械(120)连结的下连杆(13)，其中，在同一个销(8)上可自由转动地支撑该缸(2)以及该下连杆(13)，该同一个销(8)由该变速器箱体(4)和限位链托架(11)支撑，该缸(2)的支撑点以及该下连杆(13)的上下转动支点配置在该销(8)的轴心上。
有可拆卸的联结球头的拖拉机,拖拉机(10)有货箱(26)和安装联结球头(60)的轴，其中联结球头(60)穿过货箱底板(34)中的开口向上突出。这种结构在货箱(26)安装在拖拉机(10)上时仍能使用球头(60)。还有，由于球头(60)是安装在轴(15)而不是货箱(26)，所以获得更大的负荷承载能力和当货箱(26)从拖拉机(10)上卸下时可以使用牵引装置(28)。
可调式三铧犁,可调式三铧犁，它涉及农业耕种机械中三铧犁结构的改进。本发明中犁铧(40)由两个U形卡(16)将其固定于框形主梁(7)中间的下侧，左犁铧(30)和右犁铧(50)分别设置在框形主梁(7)下部的左侧和右侧，左犁铧(30)和右犁铧(50)分别与框形主梁(7)滑动连接。本发明的中犁铧(40)与框形主梁(7)之间是固定不动的，趟地时拖拉机驾驶员只需将中犁铧在垅中的位置摆正，左犁铧(30)和右犁铧(50)便可根据两条垅的垅距大小，自动跟踪调节垅距，解决了已有技术在耕作时垅距不均伤苗的问题。本发明具有结构简单、牵引阻力小、通用性好、两个犁铧的垅距自动调节效果好、工作效率高的优点。
玉米休耕轮作和防风保水的耕作方法,本发明属于农业技术领域，是一种玉米休耕轮作和防风保水的方法。将传统的耕作垄改变为超大垄，大垄垄距1.6～1.7米宽，小垄垄距0.3～0.4米宽，大垄和小垄组合成2米2行的大小垄栽培模式。在大垄内，分成3个36～37厘米和2个0.3～0.4米的距离，每年用一个相间36～37厘米的0.3～0.4米小垄播种两行玉米，宽1.6～1.7米的大垄内可以不重复地播种两年0.3～0.4米小垄，第四年重复第一年的小垄。在玉米收割时，留茬高35～40厘米，将秸秆全株均匀放置在高茬小垄间。本发明使土地得到两年的休耕，提高土壤利用能力，还能增加土壤有机质含量，恢复土壤肥力，可以起到防风的作用，使土壤免遭风蚀和保护耕地的作用。
埋茬耕整机,一种埋茬耕整机，包括传动变速系统、悬挂装置、挡土平地装置和主要由刀轴、埋茬刀、刮土板、刀库构成的刀轴总成构成。埋茬刀由螺栓固定在焊接于刀轴上的刀库内，刀库按轴的圆周方向6～24等分，并且按轴的轴向方向交错排列。刮土板与刀轴近似等长，共2～6根，沿刀轴周向均布，分别通过联接板由螺栓固定在刀库上。埋茬刀为双圆弧状，且有滑切角α＝1°～10°。本发明采用单轴正旋的刀轴机构，由于埋茬刀、刮土板的独特设计和合理分布，能用于水、旱地一次完成耕翻、埋茬、整地的作业，效率高，负荷小，操作维修方便，运行成本低。
乘用型水田作业机,本发明提供一种乘用型水田作业机，它具有下列各种部件：能自由转向的左、右前轮(1)、(1)；具有推进机身的动力的左、右后轮(2)、(2)；对左、右前轮(1)、(1)进行转向操作的转向手柄(12)；分别对左、右后轮(2)、(2)的推进动力进行限制的推进动力限制装置(45)、(45)；以及通过用转向手柄操作上述左、右前轮，使其转向到设定角度以上，使得与转弯内侧的后轮相对应的推进动力限制装置(45)动作，借助于在两个后轮之间产生推进动力的差异，使机身转弯的自动转向机构A。其特征在于，在左、右前轮(1)、(1)的转向幅度超过设定角度的范围内，设有使得与转弯内侧的后轮(2)对应的推进动力限制装置(45)动作的转向位置；和不使该推进动力限制装置(45)动作的转向位置。
用于土壤压辊的剥离装置和具有该剥离装置的土壤压辊,一种用于具有压实脚的土壤压辊的剥离装置，装配具有剥离齿的梁和具有允许重新调节在土壤压辊上的剥离齿的可随意调节的梁座，所述梁优选包括具有圆形横剖面的管和梁座以及至少在一端具有围绕该管并可拆分地连接而以旋转固定和移位固定方式夹住该管的一对半外壳。通过转动所述梁可重新调整剥离齿，其导致较大的空隙宽度以去除可堆积土壤物质的小区域中的剥离土壤物质。
栽培的沉香木,本发明提供来自栽培树的沉香木和/或沉香木树脂及在栽培树中生产沉香木和/或沉香木树脂的方法。
玉米改变垄向和扩大垄距的耕作方法,本发明属于农业领域中的耕作制度和栽培方式，是一种改变垄向和扩大垄距的耕作方法。将耕种的垄向改定为磁南偏西15—20度，使垄向与北方夏季的阳光照射方向一致。根据北方地区玉米的最大投影长度水平距离为1.7米，设计垄距为大垄1.6～1.7米、小垄为0.3～0.4米，大垄和小垄构成2米2行组合垄。每天阳光直接照射玉米全株时间为3.5个小时，照射到玉米上半部的时间可达6个小时以上。本发明大大地提高了全植株光照时间和光照强度，避免了在有效光合作用时间内玉米阴影相互遮蔽现象，最大限度地提高了光合作用率。实践证明采用这种耕作方式每公顷可多获得经济收入1500—2000元，每公顷多产玉米2000公斤(含水率18％)。
激光控制水田平整机,本发明涉及耕整机械，更具体地说涉及一种激光控制水田平整机。其技术方案是：铲刀与机架铰接，在其铰接点的上部与铲刀角度调节油缸活塞杆的端部铰接，角度调节油缸缸体的端部与机架铰接，在机架下端两侧设置滑撬，高度调节油缸活塞杆的端部和吊杆的下端分别与限深板连接，高度调节油缸缸体的端部连接限深调节板架，吊杆的上端上下可滑动地连接于限深调节板架，限深调节板架与机架连接，电磁阀置于高度调节油缸对应位置上，并通过线路连接激光控制机构。优点是：1)自动化程度高，工作效率高，田块平整度高；2)拖拉机输出动力和作业量达到最佳匹配；3)有效防止下陷问题；4)节水、节肥、节药增产；5)结构简单实用，价格便宜，适合我国目前的国情。
圆盘耙及该耕机的安全装置,"本发明为一种圆盘耙(1)，包括一个承托型或拖拉型的底座(2)，配
有至少一组非电动旋转的耙片(3)，并且耙片(3)分别独立安装，工作时
通过安全装置(5)相对于承载底座(2)而左右振荡。该圆盘耙(1)的特
点是，每个耙片(3)通过一个螺旋形的(至少3/2半圈)弹簧(6)联结到
底座(2)上。弹簧(6)的一头(6A)联结到底座，而另一头(6B)则可
以和耙片(3)的毂(8)连接。当耙片(3)上的压力大于额定压力时，螺
旋圈收紧卷拢，于时弹簧(6)可以在垂直方向抬起耙片(3)。"
一种柴油微耕机的自动急停装置,"本发明公开了一种柴油微耕机自动急停方法，是将急停装置控制部分设在微耕机扶
手架组件上，执行部分设于发动机上，微耕机正常工作时，操作者将急停装置控制部分握
住，让急停装置执行部分不起作用；操作者松手时，急停装置执行部分在回复力作用下立
即复位，自动切断发动机油路供应，达到自动急停目的。急停装置是在扶手架组件末端设
有急停手柄座，一“7”字形的急停手柄通过转销安装在急停手柄座上并可绕转销旋转。
急停拉索一端与急停手柄连接，另一端与发动机上的执行部分连接。利用本方法和装置，
当机器脱离操作者控制或操作者撒手时，执行部分自动切断柴油机油路供应，发动机立即
熄火，整机停止工作。"
一种北方地区岩石坡面植被恢复的方法,"本发明涉及一种北方地区岩石坡面植被恢复的方法，步骤如下：a.坡面
处理：清坡处理，设置锚杆，在锚杆上固定挂装塑封金属网；b.植物种类选
择：选用适合当地气候条件的植物种子，以禾本科和豆科植物为主，将所选植
物种子混合；c.基质配置：选择砂质壤土、草炭、稻草段、复合肥、水、水
泥、保水剂为基质材料，对所选基质材料进行均匀搅拌后形成备用基质；d.
喷播基质：将上述备用基质喷播到挂金属网的岩石坡面上，在备用基质中加入
上述混合后的种子后，将其喷播到已喷基质层的表面；e.防护处理：在喷播
后的基质层上覆盖保护层，对基质层养护，即完成本发明全部过程。本发明适
用于北方地区岩石坡面的植被恢复，有很好的水土保持效果。"
耕田机,"本发明公开了一种耕田机。它主要是针对目前的耕田机对耕作小块田地难
于转弯及深泥田易沉陷等技术问题设计的，其机架总成通过固装在船体后部的
机架转轴与船体铰接，机架吊杆的下端与机架的前部铰接，机架吊杆上端与机
架吊臂前端铰接，机架吊臂另一端通过转轴或直接与机架升降操纵杆固接，铰
接在机架上的左转向杆通过转向连杆与变速箱的转向齿轮轴上的左转向齿轮相
配合联接，右转向杆通过转向连杆与变速箱的转向齿轮轴上的右转向齿轮相配
合联接，铰接在船体上的离合器操纵杆通过离合器连杆与变速箱的离合器锥套
轴相接，铰接在船体上的档位操纵杆通过档位连杆和拐臂与动力装置的档位控
制轴相接。它结构较为简单，体积不大，操作很方便。"
手柄、立式丝杠系统和用于手柄的加工方法,"本发明涉及一种用于使杆状或管状的旋转体(54)旋转的手柄
(10)、一种立式丝杠系统(52)和用于加工这种手柄(10)的方法。
该手柄(10)具有平行于轴线(12)延伸的隆起(26，28，30)，它
们围绕该轴线(12)至少部分地形成一个空心空间(42，44，46)。
该空心空间(42，44，46)用于容纳旋转体(54)。通过手柄(10)
上的缺口(48)并通过在旋转体(54)上构成的可以与缺口(48)相
啮合的凸起(62)，实现在手柄(10)与旋转体(54)之间的抗扭转
连接。本发明建议，所述隆起(26，28，30)沿着轴线(12)一个接
一个地设置，其中至少一个隆起(26，28，30)与相邻的隆起(26，
28，30)在径向上相反地成形。这种手柄(10)例如在农业的悬挂装
置上调整立式丝杠系统(52)的时候使用。"
圆盘耙型土壤耕作机,"本发明涉及一种圆盘式土壤耕作机，其包括一配备有耕种工具的底盘(1)，所述
耕种工具由至少前面的一个(2)及后面的一个(3)由非驱动式旋转圆盘(4)组成的
串构成，每一圆盘(4)或每一串(2，3)圆盘均通过一安全装置(5)独立地耦接至
一由该串(2，3)圆盘(4)中圆盘(4)的总成所共享的支撑件(6)，例如一个梁。
每一安全装置(5)均允许通过使圆盘(4)或圆盘(4)组横向及/或竖向脱离而回退。
本发明机器的特征在于，一串圆盘中的每一圆盘(4)在耦接至其支撑件(6)时均以
一轴线为中心受到旋转驱动，所述轴线与所述支撑件的纵向轴线一起形成一介于3°与
40°之间的夹角α。每一支撑件(6)均安装于底盘(1)上，同时能够以一种方式以一
竖向轴线为中心转动，所述方式使得能够在一预定的角度范围内调节所述串(2，3)
圆盘(4)的所述总成的开口角度值。"
沙漠植被车用动态同步开沟与洒水装置,"一种沙漠植被车用动态同步开沟与洒水装置，车体支架上设有水箱，该水箱底部固联一
洒水管路控制系统，该洒水管路控制系统包括经输水管连接的动力增压机构与喷洒调压机构，
喷洒调压机构主要包括一固定于管路中的电磁阀和洒水管，洒水管由管夹固定于车体的后端
部，动力增压机构包括一伺服电机，该伺服电机经皮带与清水泵连接，清水泵的进水口经软
管与水箱连接，清水泵的出水口经输水管、法兰盘与电磁阀、洒水管及喷嘴连通；本发明采
用与车载其他装置匹配的开沟与洒水同步运行的技术方案，解决了现有技术中未匹配专门的
开沟与洒水同步运行机构，无法实现高成活率植被的难题；它适于沙漠松软土地带建造植被
作业时同步实现在沙漠上开沟与洒水。"
利用暗管排水改良盐碱地的系统工程方法,"本发明涉及土壤改良新方法，其包括勘察设计、灌排配套、土地平整、松
土破结、维护管理等方法组成。所述的灌排配套方法中还包括暗管排水方法，
即通过埋置在盐碱地土层下方的暗管管网，把土壤中的含盐水分，引入排水管，
排出土壤，暗管壁上分布着诸多微孔；所述的土地平整采用激光控制平方法，
即利用激光束产生的平面来控制平地机具刀口的升降高度，所述的松土破结是
利用土壤深松土机疏松土壤而不翻转土层，深松深度不大于0.7米；所述的
维护管理方法中还包括暗管清洗，暗管清洗采用高压水流喷射清淤装置完
成。利用这项方法改碱可增加耕地面积，提高农业综合生产能力，有较大
推广价值，对农民增收、农业发展和生态环境改善具有促进作用。"
实现种水同位的中耕作物免耕施肥坐水播种机,"本发明涉及中耕作物免耕施肥坐水播种联合作业机械。其实施的田间作业工
序是：破茬开沟、施肥、种、水同时同点播施、覆土、镇压。其结构包括水箱、
梁架、地轮、条带施肥装置、穴播装置、间歇灌水装置。其中穴播装置包含有同
步信号发生器，间歇灌水装置包含有受信执行器，穴播排种过程中发生的同步信
号传输给间歇灌水装置并控制其动作，使两者节拍相同，相位协调；并且间歇灌
水装置下部的灌水管和穴播装置下部的输种管汇合成排出管，在其下端设置一个
弹性活门，阻挡相位在先落下的种子使之暂驻，相位在后的间歇水流到达后冲开
活门，使水和种子同时落入播种开沟器后方的动态土壤空穴中。有效保障种、水
同位，真正实现穴播穴灌，节水并提高作业效率。"
利用苦咸水自然冻冰改良盐碱地的方法,"本发明提供一种利用北方滨海平原苦咸水与冬冷资源并存的特点，充分利
用季节温度的变化规律，依据苦咸水分凝和融离原理，利用冬冷资源“冻灌苦
咸水”改善区域环境，实现大面积盐碱地的快速改良。本发明的技术方案是这
样实现的：A、建立取水和排水系统；B、冬灌结冰；C、春暖融冰，导流排出
1/3-1/2初融咸水，使后期的融化水渗入土壤之中；D、适时播种。这种方法
的优点是克服北方淡水资源不足的困难，依靠苦咸水资源实现盐碱地改良；通
过苦咸水的利用，降低滨海地区地下水水位，为彻底改变滨海区低洼易涝盐碱
化的环境创造了条件；可以低成本实现临港经济区的环境绿化。"
利用燃煤脱硫镁渣治理沙漠的方法,"燃煤脱硫镁渣的新用途及其治理沙漠的方法，涉及一种利用燃煤烟气脱硫废弃物
治理沙漠的方法。该方法首先对土样进行采样分析，得到不同剖面的全盐量和MgSO<sub>4</sub>、
MgCl<sub>2</sub>的量；再根据沙漠土壤的盐分计算所需施用的燃煤脱硫镁渣的用量；选择适合
沙漠区种植超旱生荒漠植物，在种植过程中，根据土壤的盐分含量及其在剖面中的分
布，分别在地面下部的土壤中加入不同比例的烟气脱硫镁渣；然后在地面下部40cm～
50cm处加入充分吸水的高吸水性树脂，之后和正常种植植物一样进行管理。本发明一
方面使燃煤烟气脱硫废弃物得到了经济有效的利用，变废为宝。另一方面提供了一种
改良速度快、效果好、用水量少、经济性好，具有良好应用前景的治理沙漠方法。"
前转式工作机,"提供了一种前转式工作机，其包括形成在传动箱（27）中用于排
出机油的出油口（54）。从出油口排出的机油流过形成在设置于出油口
正下方的机油容纳部分（55）中的流出通道（64），向下流至用于形成
传动箱的固定凸台（57）的外表面（73），以及位于凸台的下端（67）
处的螺栓（66）的螺栓头（71），并向下滴落。"
