名称,摘要
脱谷用选别装置,本发明的脱谷用选别装置用适当开度控制维持摇动选别盘的颖壳筛可以成为高精度的选别作业。该装置包括：与排秆量连动、控制颖壳筛(29)开度的排秆连动开度控制装置，和根据摇动选别盘(25)中检测的谷粒量控制颖壳筛开度的检测流量开度控制装置，当前述控制装置(57)中控制用传感器(67)、(68)发生异常时，用设定开度驱动控制颖壳筛(29)的开度。
铰接式联合收割机,概括地说本发明的一方面是铰接式联合收割机(10)，其具有增大的谷物贮存容量(例如1200蒲式耳)，并且包括前部单元(12)，所述前部单元具有驾驶室(15)、发动机(18)、谷物收割组件(16)、谷物输送组件(26)，但没有车载谷物仓；还包括后部单元(14)，其枢转地连结到前部上，并具有可转向和带动力的车轮(30，32)，用于容纳来自前部谷物输送组件的车载谷物仓(28)，和一谷物卸载组件。谷物输送组件(26)、铰链(22)及谷物卸载组件和控制件构成本发明的其它方面。
菌草切割机,一种菌草切割机，它包括机架、上、下机壳，喂料口、出料口、主轴、飞刀旋转盘、风叶、飞刀、变速传动机构，其中旋转盘装在主轴上，其特征是飞刀和风叶同时装在旋转盘上，在喂料口内沿飞刀切向的下机壳边装有与飞刀相对应配合的固定刀，使菌草能通过飞刀和固定刀共同切割，在喂料口处还装有一副压送料用齿状滚花轮，两个滚花轮是安装成相反方向转动送料的结构。滚花轮在进料时可压紧菌草有利于让飞刀切割。本发明参考了原有木料切片(切屑)机、植物料粉碎机的技术基础上进行科学的改进，由于加装了固定刀，其加工性能优越，可满足各种菌草植物料的切割、粉碎。由于设计安装了压送料滚花轮，还可根据食用菌培养料所需的不同长度进行切割，生产效率比人工提高了28倍，省工省力。
旋转振动分离器,本发明的目的是提供一种旋转振动分离器，它能够保持恒定的分离精度而不会发生本来在相同分离器中可能出现的分离失败，而且无需使旋转轴穿过分离容器中心。旋转振动分离器(1)包括多个驱动部分，每个驱动部分在分离容器(4)的周缘部分(3)的圆弧上以均匀的间隔设置，其中每个所述多个驱动部分相继地被驱动，使整个分离容器(4)进行旋转振动。
联合收割机,一种联合收割机，在机体前侧的收割部分(8)设置将未收割的谷秆扶起的部分(30)、将未收割的谷秆的根部切断的收割刀(10)和将收割下来的谷秆以横倒的姿势支持并输送的输送机构(11)，在机体后侧的脱谷部分(4)设置将从前述收割部分(8)供给的谷秆脱谷的脱粒滚筒(5)和将落至该脱粒滚筒(5)的下方的脱谷物的谷粒与茎稿屑分离并取出的选别机构(38)，其特征为，具有输送前述脱粒滚筒(5)的后部的脱粒物并再脱谷的处理圆筒(55)，在处理圆筒(55)的外圆周上，按螺旋形卷绕固定螺旋形叶片(555)。该联合收割机，一方面使脱粒物向脱粒滚筒(55)的后方迅速移动，一方面确实地取出残余的谷粒，可提高处理圆筒(55)的再脱谷能力。
收获机的脱粒装置,本发明的收获机的脱粒装置，在脱粒室内部轴支撑安装脱粒滚筒，在脱粒室下侧设置可以向前后摇动地架设的摇动分选台；在摇动分选台下方设置分选室，在脱粒室一侧设置谷秆夹持输送装置，在其另一侧设置二级处理室和排尘处理室；在二级处理室中轴支撑的二级处理滚筒对由二级移送螺旋体收集并通过二级扬谷装置扬谷的二级物进行处理；在二级处理室中将二级物向脱粒滚筒移送方向的相反方向运送并进行再处理，使再处理途中可漏下的二级物顺次漏下，在二级处理滚筒的运送终端部设置的排尘口被配置在摇动分选台起始端部的上方，在排尘处理室中轴支撑排尘处理滚筒，其起始端部在排尘处理室中开口并与脱粒室的终端部连通，在排尘处理室的中间部分张设处理物的漏下箱，排尘处理室终端部的排尘口被配置在分选室中。采用本发明，可将二级物与脱粒滚筒移送方向相反移送的同时进行再处理。
联合收割机,一种联合收割机，它设有旋转脱粒和分离单元、谷物收集元件、清除设备以及可产生抽吸气流的吸入式鼓风机单元。为通过吸入式鼓风机单元吸取更高比例的谷壳和破碎秸杆，使由吸入式鼓风机单元产生的气流通过一管道向上导向，该管道将所述气流从旋转脱粒和分离单元的转筒壳体与围绕着旋转脱粒和分离单元的壳体的后半部分的一部分的谷物收集元件之间的空间朝着吸入式鼓风机单元引导。
联合收割机的脱谷装置,联合收割机的脱谷装置，为了摆动上部构造体，具有连接上部构造体和驱动源的驱动机构。驱动机构上设有互通机构，该互通机构在从前述上升开启位置到比下降关闭位置更位于上升侧的中间位置的、上部构造体的关闭摆动期间，进行驱动机构与上部构造体的可力传递连接，同时，在下降关闭位置与中间位置之间，上部构造体的关闭摆动期间，驱动机构与上部构造体的可力传递连接被取消。
脱粒装置,一种脱粒装置。在脱粒装置中，对来自谷物抖动板的处理物进行筛选处理，而且具备根据堆积的处理物的总重量的变化来进行开闭调节的颖壳筛，可以避免谷物抖动板的大型化以及壳粒的损失，而且能够将处理物均匀分布地供给开闭颖壳筛。为了达到此目的，在滚筒室(1)的接受网(5)里，把处理物落下供给谷物抖动板(14)的前侧部分(5a)的处理物落下孔(5c)的大小要比把处理物落下供给颖壳筛(30)的后侧部分(5b)的处理物落下孔(5d)的大小要小。
青饲收获机装袋打包装置,本发明提供一种青饲收获机装袋打包装置，其特征在于：包括底盘、中心接盘、垂直轴管、装袋转盘总成和位于装袋转盘总成之上水平固定在垂直轴管上的刮板，其中装袋转盘总成包括轴承安装在轴管顶部的接料托盘、轴承安装在轴管底部的饲料袋托盘，饲料袋托盘与中心接盘轴承衔接，沿接料托盘的外缘向上设置有防溅挡板，接料托盘上设置有多个接料孔，接料托盘的底面环绕接料孔的四周设有饲料袋袋口固定撑张装置，饲料袋袋口撑张固定在撑张装置上，其底部垂托在饲料袋托盘上。当一饲料袋装满时，转动装袋转盘总成使喷料管对准下一个饲料袋，并将装满的饲料袋扎口后推出打包装置，排列在地面。本装置能保证青饲收获机的连续作业，工作可靠，生产率高。
谷物排出装置,一种谷物排出装置，其特征在于，在与排出谷粒贮留容器(4)内的谷粒的纵向输送筒(6)相连接的固定用输送筒(8)中可以沿长度方向自由伸缩地安装移动用输送筒(13)，构成伸缩谷粒输送装置(5)，在具有前述移动用输送筒(13)的排谷口(35b)的排出部(58)中，设有：使前述排谷口(35b)在上下左右方向上移动的上下左右开关(60)、使前述移动用移送筒(13)伸缩移动的伸缩开关(61)、和进行前述谷粒贮留容器(4)内的谷粒排出作业的执行和停止操作的谷粒排出杆(62)。
谷物排出装置,一种谷物排出装置，其特征在于，在输送谷物的排出筒(6)的输送终端部，可左右自由转动地安装具有排出口(14a)的排出筒(14)，通过与该排出筒(14)设置成一体的驱动装置(14b)的驱动力，使所述输送终端部的排出筒(14)左右转动。
脱粒装置的稻草切割刀具的制造方法,本发明提供了一种脱粒装置的稻草切割刀具的制造方法，该刀具构成为：板材折弯形成“コ”状，刀片并列突起设在安装部的左右，在刀片的边缘部形成从基端部到突出前端部的顶部和槽部相连续的凹凸刀刃边缘，凹凸刀刃边缘被形成为：从刀具刀片的观看厚度的方向观看时，其顶部和槽部不是分别向左右错开，而是位于同一平面，且顶部和槽部在刀刃边缘形成方向上配置在一条直线上，本制造方法的特征为，在将板材中成为刀具刀片的部分的凹凸刀刃边缘形成侧倾斜折弯的同时，在该倾斜折弯部分冲压形成凹凸面，沿着该板材的板面磨削形成有所述凹凸面的倾斜折弯部，形成所述凹凸刀刃边缘。由此能简单容易地实现凹凸刀刃且具有类似剃头刀的锋利度的稻草切割刀具。
全穗杆投入型联合收割机,一种把收割的穗杆整体投入进行脱粒处理的全穗杆型联合收割机，脱粒装置(D)具有滚筒室(30)、筛选室(BR)、还原输送装置(50)；由该滚筒室(30)中的脱粒滚筒(31)对前述收割穗杆的整体进行脱粒处理；筛选室(BR)具有摆动筛选装置(32)，该摆动筛选装置(32)对从该滚筒室的脱粒凸板(39)落下的脱粒处理物由向机体后方的流动筛选风进行筛选处理；还原输送装置(50)把来自该筛选室的还原处理物还原供应给该筛选室；在前述滚筒室顶壁(65)和前述脱粒凸板上端(39a)间设置的隔离壁(67)和前述脱粒装置一横壁(60)构成对前述还原处理物进行预选的预选空间(68)，通过该预选空间把前述还原输送装置排出口(54)与前述筛选室(BR)连通。
联合收割机的谷粒排出装置,提供一种联合收割机的谷粒排出装置。该装置可避免在操作者误触及开关的情况下，以及马虎操作遥控器的情况下出现谷粒排出装置违反操作者意愿动作的事态，进行准确无误的操作。无线操作式排出螺旋控制装置2由以下两部分构成：配置了用来分别指令从联合收割机中排出谷粒的排出螺旋装置1的伸出动作，收纳动作、以及排出打开动作的开关的无线操作用的遥控器20以及根据各开关的操作信号控制排出螺旋装置的各种动作的控制器2a。该控制器2a采用下述构成：以上述各开关的操作信号在规定时间内重多次操作作为条件控制排出螺旋装置的各种动作。
联合收割机,本发明的目的是提高脱谷效率和实现收获作业速度的高速化。本发明的联合收割机，在内设有脱粒滚筒(6)的滚筒室(22)侧方，架设送料链(5)，由脱粒滚筒(6)使送料链(5)运送的谷杆脱谷，其特征在于，用脱粒滚筒(6)外周的若干个滚筒弓齿(51)的前后方向中间部，把沿脱谷滚筒(6)旋转方向延设的杆承接体(53)(54)固定在滚筒室(22)底部，从正面看将杆承接体(53)(54)重合在滚筒弓齿(51)的旋转轨迹上。
收割机清选装置,本发明公开了一种收割机清选装置，它包括风机，一个安装于脱粒机架的双层振动筛，一个安装于脱粒机架的圆筒筛，所述圆筒筛安装于所述双层振动筛的前上方并位于脱粒滚筒的籽粒出口的下方，所述风机的出风口指向所述双层振动筛和圆筒筛之间的位置。该清选装置不仅具有适合潮湿作业，效率高、损失小的圆筒筛的特点，而且也具有清洁度好的双层振动筛的特点，从而提高了收割机清选作业的适应性。
一种加工豆类饲料作物的方法,"在与现存蔗糖厂协同定位的饲料加工厂中加工作为改善土壤的甘
蔗休闲作物来种植的豆类饲料作物来产生具有正向经济价值的动物饲
料产物，如干草。该加工使用一些糖厂的剩余纤维副产品(甘蔗渣)
作为用于饲料脱水的能源。"
收获机械的振动清选筛,"一种振动清选筛，包括清选筛框，抖动板，上筛，下筛，尾筛，前轴，主动
轴，偏心块和滑板，清选筛框上装有抖动板、上筛、下筛和尾筛，其特征在于：
抖动板由三块不同波纹板组合而成，靠近喂入口处波纹板波纹角度较中间的要大
10°，第三块板波纹角度为90°；上筛采用纵向分段组合结构，根据不同清选
物料有编织筛和鱼鳞筛组合或者冲孔筛和鱼鳞筛组合，下筛采用编织筛或冲孔筛
筛面结构，尾筛为鱼鳞筛。清选含水率较高的脱出物时抖动板和上筛前段冲孔筛
面上镀有疏水性较好的含氟丙烯酸树脂，本发明解决了清选物料沿筛面横向分布
均匀性、清选含水率较大物料时的粘连问题，是一种清洁度高，清选损失小，适
应性强，适合大喂入量的高效清选装置。"
一种有非贯通切口草捆和加工方法,"一种有非贯通切口的草捆和加工方法，属于畜牧业用饲草加工范畴，其
特征在于：从草捆外部向内部切割成一个或是一个以上非贯通的外切口，非贯
通的外切口在草捆内的排列分布，或是非贯通的外切口相对，或是非贯通的外
切口错位，非贯通的外切口之间留有不切断的草层—骨架草；通过调整切刀
间相互位置或切口间的距离及其在草捆内所在的位置，在被切割后的草捆内形
成不同形式的非贯通的外切口。本发明既可使草捆切割后外形平整不变形，又
能提高生产效率，降低成本。"
收割机用回滚筒式杂余处理装置,"本发明公开了一种收割机用回滚筒式杂余处理装置，包括设于收割机机体上
的脱粒滚筒、可输送籽粒的籽粒水平输送搅龙和可收集收割机脱粒清选后产生
的杂余物的杂余箱，杂余箱内水平设有杂余输送搅龙，所述脱粒滚筒和所述杂
余输送搅龙之间设有中间搅龙；所述籽粒水平输送搅龙通过传动装置驱动杂余
输送搅龙。本发明不仅能够有效的解决收割机脱粒不净的问题，提高了收割机
的作业效率，而且简化了收割机的结构，方便了人们对收割机的操作使用。"
半喂入联合收割机,"一种半喂入联合收割机，其收割部(3)构成为能够以其基部为中
心向横向外侧旋转开放，该联合收割机可以发挥收割部的旋转开放带
来的优点，同时可靠良好地进行谷杆从收割部向脱粒装置的供给输
送。为了实现该目的，在前述收割部(3)所备有的谷杆供给输送装置
(18)的终端部、和装备于前述脱粒装置(5)的供给链条(21)的起
始端部之间的规定位置上，配备有辅助输送装置(22)，并且，辅助
输送装置(22)与向其传递动力的传动机构一体化而构成辅助输送组
件(A)，该辅助输送组件(A)可拆装地连结在行进机体(2)上。"
联合收割机自动接粮装置,"本发明公开了一种联合收割机自动接粮装置，包括集粮斗，集粮斗的下
方设有两根导轨，两根导轨的内侧设有上导槽和下导槽，上导槽内安装有U
形滑块，下导槽内挂设有接粮袋，接粮袋的前挂臂固定有连接钩，连接钩钩
住前一个接粮袋的后挂臂，U形滑块的前端销接有拨叉，拨叉前端抵触在连
接钩的后端，导轨上对应于集粮斗的下方设有前、后两对弹性钢珠，前对弹
性钢珠卡在接粮袋的前挂臂后沿，后对弹性钢珠卡在接粮袋的后挂臂前沿，
U形滑块后部销接有间歇推动机构。该装置无需辅助的接粮人员，简化了卸
粮作业过程，实现了机械的自动化袋装接粮。"
粉粒体排出装置和具备该粉粒体排出装置的作业车辆,"本发明提供一种粉粒体排出装置和具备该粉粒体排出装置的作业车辆，
不损伤或污染谷粒，顺利地向外部排出谷粒，便于维修，防止因障碍物干涉
空气运送装置，经济实用且便于维修。其具备：下部具有螺旋(8c)的颗粒
槽(8)；将从上述螺旋输送的谷粒向外部运送的推运螺旋(9a)；用于空气运
送谷粒的空气运送机构；及将由该空气运送机构运送的谷粒向外部排出的排
出用筒构件(9b)。另外，空气运送机构是自如装卸的结构，而且，包含在空
气运送机构中的空气运送装置(20)及输送装置(18)在空气运送机构设置
在车体(1)时，将空气运送装置(20)相对于上述输送装置(18)配置在车
体(1)前进方向一侧或后退方向一侧上。"
一种互花米草的生物酸化湿式储存方法,"本发明属于资源和轻工业技术领域，具体涉及一种互花米草的生物酸化湿式储存方
法。其具体方法是：将收割后的互花米草用机械或人工方法切碎、搓揉等碎化后，投入到
不渗水的坑池或地上槽体等容器中并压实，进行接种，并加水直至覆盖互花米草上表面
10cm以上，短期的循环发酵使容器内的pH降至5-6之间，停止循环保持pH在5-6状态
进行半封闭保存备用。该方法使对互花米草存储更加简便、经济和安全，有利于互花米草
资源的开发和利用。"
脱粒装置,"本发明用于解决由滚筒弓齿和切削刃引起的稻草切断性能不良好
的不适合情况。根据本发明的联合收割机等的脱粒装置，将脱粒滚筒
自由转动地轴架在滚筒室内，在设置于上述滚筒室内的喂入口侧和反
喂入口侧的コ字形切削刃上形成一对凹凸刃缘，使多个凸部和凹部相
互交替且成直线状地形成该一对凹凸刃缘，在脱粒滚筒的轴心方向上，
使上述切削刃的前端部进入脱粒滚筒的滚筒弓齿的转动轨迹内，滚筒
弓齿从切削刃的一对凸凹刃缘之间通过，利用描绘出上述转动轨迹的
滚筒弓齿和切削刃的上述直线状的凹凸刃缘在滚筒室内的喂入口侧和
反喂入口侧对脱粒物进行切断处理。"
联合收割机,"在脱粒装置的后部配置处理滚筒，仅由摆动分选装置来分选由该
处理滚筒处理后的处理物和由上述脱粒滚筒处理后的处理物，由此导
致谷粒损失发生，所以，要进一步提高收割效率。在配置于脱粒装置
的后侧部的处理滚筒的下方，配置接受由处理滚筒处理的处理物并朝
前方输送的输送体，再度投入到摆动分选装置上进行再分选，同时，
由第2返回输送机将二类物输送到摆动分选装置的前端，在该第2返
回输送机的前端设置枝梗处理装置。可容易地装拆处理滚筒和输送体，
容易进行维护。另外，由传感器检测从输送体前部落下的处理物，防
止堵塞。"
收割机振动筛行程调节装置,"本发明旨在公开一种收割机振动筛行程调节装置，包括振动筛摆臂，及连
接动力装置的连杆，连杆与推杆一同与摇杆的一端活动连接，推杆的另一端与
振动筛摆臂自由端活动连接，摇杆的另一端与定位杆的自由端活动连接，定位
杆的另一端活动固定在机座上，定位杆上安装操纵杆。本发明能对收割机振动
筛行程进行按需调节，提高了振动筛的分选效果，且结构简单轻便，能广泛应
用于各类收割机及其它机械设备中。"
半喂入式联合收割机脱粒系统的滤网的拆装清理方法,"本发明提供了一种半喂入式联合收割机脱粒系统的滤网的拆装清理方法，
具体如下：(1)把左侧板上相对于脱粒室内侧易磨损的部位单独分离为一块下
唇板，下唇板与左侧板是可拆卸更换的连接；滤网与前后滤网支架采用滑轨式
配合安装，这样拆卸下唇板，就可以从拆卸下唇板的缺口处拆装滤网，方便维
修和更换脱粒滤网；(2)在左侧板上的下唇板的下面相对于滤网的地方也设有
一块缺口，通过可拆卸的封口板封堵；清理滤网时，直接拆卸封口板，从缺口
处清理。在半喂入式联合收割机脱粒系统整体结构不变的情况下，通过优化滤
网与滤网支架的配合结构及左侧板的结构，可以从左侧板上的拆卸缺口拆装、
清理滤网，达到拆装清理方便的目的。"
切向喂入轴流脱粒分离装置,"本发明为一种切向喂入轴流脱粒分离装置，用于将作物的籽粒从穗头上脱
下来。脱粒元件采用短纹杆-板齿复合结构，短纹杆安装在纹杆座上，板齿位于
纹杆座一侧，凹板采用栅格筛和冲孔筛两种组合结构，配合脱粒滚筒实现作物的
脱粒与分离。短纹杆-板齿复合元件按照螺旋方式排列在脱粒滚筒的封闭圆筒上；
通过更换不同尺寸的短纹杆和板齿，变换板齿的位置，调整运动参数，该装置可
适应水稻、小麦、油菜、大豆等多种作物的脱粒分离要求。本发明脱净率高，夹
带少，籽粒损伤率低，茎秆破碎程度轻，脱出物中短茎秆和杂余总量少，沿脱粒
滚筒轴向分布较均匀，对环境的适应性强，经过简单调整就能适应多种作物的脱
粒要求，结构简单，加工制造方便。"
棉籽堆垛储存方法,"一种棉籽堆垛储存方法，包括以下步骤：(1)在棉籽储存货场的地面的中央位置设置一
道三棱柱形的通风管道，所述通风管道的两端设置有抽风机，中间段的两条侧棱面上间隔设
置有菱形筛网板和封闭板；(2)在所述通风管道上按特殊步骤堆垛棉籽；(3)向堆好的棉籽
堆垛中间隔插入测温钢管。本发明棉籽储存方法大大提高了单位面积上的棉籽的储存数量；
堆垛中央位置设置的通风管道，使棉籽堆垛后更好通风，同时利用抽风机进行抽风换气，能
够很好的保证棉籽堆各个部位的温度和湿度。"
脱谷装置,"本发明的目的是，提高由脱粒滚筒的滚筒弓齿和切刀构成的脱谷
装置的脱谷处理性能。本发明的脱谷装置，其特征是，脱粒滚筒(3)
可旋转地轴架在滚筒室(1)内，在设置在上述滚筒室(1)内的コ字
形切刀(12)上，形成一对凹凸刀口(14、14)，该一对凹凸刀口(14、
14)的多个凸部(14a)和凹部(14b)反复交替并成为直线状，从上
述脱粒滚筒(3)的轴心方向看，使上述切刀(12)的前端部进入脱粒
滚筒(3)的滚筒弓齿(2)的旋转轨迹内，使滚筒弓齿(2)通过上述
切刀(12)的一对凹凸刀口(14、14)之间，用形成上述旋转轨迹的
滚筒弓齿(2)和上述切刀(12)的直线状凹凸刀口(14、14)，切断
处理滚筒室(1)内的脱谷物。"
联合收割机的清选装置,"一种联合收割机的清选装置，把未通过鱼鳞筛的二等品还原；设有
检测脱谷处理量的检测机构，对应于检测机构检测的脱谷处理量自动调
整摇动清选机构的鱼鳞筛的开度；控制相对脱谷处理量的增加的鱼鳞筛
的开度变化量，在脱谷处理量小时使开度变小、大时使开度变大；检测
机构使相对脱谷处理量的增加的鱼鳞筛的开度变化以设定的基准脱谷
处理量为界开始变化，把鱼鳞筛的开度在脱谷处理量达到基准脱谷处理
量为止都保持在最小，以加大二等品还原量。由此解决二次处理机构由
于不能改变二次处理机构内谷粒的移动速度，所以不能根据水稻的种类
的不同改变精选率。因此，秸梗多的水稻不能完全除去秸梗，在收割不
带秸梗的水稻或进行收割小麦作业时损伤谷粒的问题。"
收割机清选筛,"本发明公开了一种收割机清选筛，包括筛框上依次排列设有若干鱼鳞筛
筛板，筛板前部依次排列设有若干鱼鳞筛片，各筛板后部分别依次排列设
有若干穿条孔，各筛板通过分别依次穿过各筛板上相应穿条孔的穿条串在
一起。本发明能够避免鱼鳞筛筛板与筛板之间在进行开度调整时因形成较
大的缝隙而造成短秸杆、较大尺寸的碎叶、颖糠等杂物漏下的现象，大大
提高了清选效果和收割机收获作业适应性。"
谷物脱粒分离装置,"一种谷物脱粒分离装置，由进料口、上盖、凹板筛、滚筒组成，进料口
的壳体内壁面上布置有多块弧形导料板，各弧形导料板相对进料口的径向方
向偏转一角度设置，滚筒由前、后两段组成，前段筒体为圆锥形，后段筒体
为圆柱形，前段筒体的外表面焊接有起喂入作用的叶片，后段筒体的外表面
焊接有多组脱粒齿座，每组脱粒齿座沿螺旋线走向分布，每个脱粒齿座上固
接有一个脱粒齿，脱粒齿与脱粒齿座通过螺栓紧固件成可拆卸连接；滚筒的
两端分别设置有前端轴头、后端轴头，上盖内壁面的顶部倾斜地设置有多块
弧形导流板，本装置吃料快，脱粒干净、夹带损失小，不易出现缠草堵塞，
能够对多种谷物进行脱粒，能通吃田地里各种形态的谷物。"
油菜脱粒机,"一种油菜脱粒机，包括机架1，动力机构，装于机架1上的脱粒滚筒27、30，位于脱
粒滚筒27、30上面并固定于机架1上的滚筒盖17，位于脱粒滚筒27、30下面并固定于机
架1上的分离筛25，位于分离筛25下面并固定于机架1上的集料斗19，位于集料斗19
下面的振动筛总成53，其中，滚筒盖17与分离筛25之间形成的空腔构成脱粒腔，在脱粒
腔的一侧开有进料口10，脱粒腔的另一侧开有稿杆出渣口18，脱粒滚筒27、30上装有脱
粒齿26、31，其主要技术特征是脱粒滚筒27、30包括并列设置的主滚筒27和从滚筒30，
且主滚筒27的主动脱粒齿26伸入从滚筒30的从动脱粒齿31的齿间缝隙中。"
组合式打包机/料捆包装机,一种组合式打包机/料捆包装机(1)，包括底盘(5)，在该底盘上安装有打包机(10)和料捆包装机(11)。打包机(10)包括均载有料捆成形辊(25)的固定部分(18)、下部(19)和上部(20)，辊(25)限定出料捆成形腔室(15)，圆形料捆(2)形成于腔室(15)之内。下部(19)和上部(20)分别绕第一和第二枢轴(35)、(40)从料捆成形位置(图5)转至卸出位置(图1)，来将料捆直接从料捆成形腔室(15)向上向后送至料捆包装机(11)中的第一、二料捆支撑辊(50)上。料捆支撑辊(50)绕第一包装轴线(53)旋转料捆(2)，而承载环(55)绕第二水平包装轴线(56)旋转一对包装材料分配器(54)，以将包装材料分配到料捆(2)上来对其进行包装。该组合式打包机/料捆包装机高效、紧凑并且长度较小。
一种联合收割机上的脱粒装置,本发明公开了一种联合收割机上的脱粒装置，包括分送链及夹持轨道、脱粒滚筒、脱粒腔、摆动分选装置及贮谷箱装置，脱粒腔包括左侧强板、右侧强板、前侧强板、后侧强板及顶盖，其特征在于：所述脱粒滚筒的转轴直接固定安装在滚筒上，左侧强板与右侧强板上均设有安装槽，脱粒滚筒可沿安装槽推入且横跨安装在左侧强板与右侧强板之间。所述左侧强板、右侧强板、前侧强板、后侧强板均一次冲压成型，且在各板面的外侧板面上设有板式加强筋结构。所述前侧强板上方设有下唇板，下唇板与前侧强板之间为可拆卸式结构安装。采用本发明具有可先脱粒滚筒的动平衡试验，保证脱粒滚筒的正常运转且拆装方便的优点。
