"patent_id","名称","申请号","摘要"
"10171671","电磁场等离子体种子处理机","CN01113926.9","本发明公开了一种种子处理装置，特别是一种电磁场等离子体种子处理机。辐照室壳体7的上部设有进口，下部设有出口，内部设有与电控装置相接的等离子体发生器9，所述的等离子体发生器9的结构是玻璃管内充有水银蒸汽，玻璃管的两端设有接线端。辐照室壳体(7)的下部出口接有电磁化室，电磁化室的下部设有排出口。具有结构简单、操作方便的优点，并且对细菌和病毒有强烈的杀伤作用，激活种子内部生长能，使农作物的发芽势、发芽率、长势、产量、果实中的营养成份明显提高。"
"10182168","植物种子播种使用的薄材及其植物种子播种方法","CN00100304.6","一种植物种子播种使用的薄材及其植物种子播种方法，该薄材设有复数个凹槽，植物种子设置于其中，该薄材覆盖于一栽培材料上以栽培，其中该复数个凹槽设有一缝隙，可使种子发芽时胚根得以钻入该栽培材料中。该植物种子播种方法的步骤包括一具有良好吸水性及保湿性的薄材，该薄材设有复数个凹槽；将该植物种子置于该复数个凹槽中，以及将该含有植物种子的薄材覆盖于一栽培材料上，其中该复数个凹槽具有一缝隙，可使种子发芽时胚根得以钻入该栽培材料中。"
"10191408","水田作业机","CN99120855.2","在具有将由发动机(11)输入的动力向变速箱(9)内输出的静油压式无级变速装置(41)的水田作业机中，通过在前述变速箱(9)内安装将前述静油压式无级变速装置(41)输出的动力断开、连接的湿式多板式离合器(50)，使其构造简单、离合器的耐久性提高。"
"10192911","水稻插秧机","CN01137142.0","本发明提供在把栽苗装置分割为左右两部分、变成储存姿势的结构方面，能简化向纵向输送驱动机构及栽植机构的动力传递结构的水稻插秧机。为了完成该目的，在左右栽苗部的一方上设置有接受来自发动机的栽植动力的供给箱(19)，同时，从供给箱(19)到左右栽苗部张设有纵向输送驱动轴(63)。在没有设置供给箱(19)的另一方的栽苗部中，上述栽植动力从纵向输送驱动轴(63)传递给各栽植机构(21)。"
"10209273","乘用插秧机","CN00802319.0","本发明的目的在于提供一可实现栽插机构的紧凑化的乘用插秧机。在本发明中，由沿前后方向延伸的多个管状前后延伸支架、架设于该前后延伸支架前端部间并沿左右宽度方向延伸的管状左右延伸支架、及连设于各前后延伸支架后端部并沿左右宽度方向延伸的管状后端支架，形成管支架状的传动箱，由可自由回转地收容于左右延伸支架的连动轴连动地相互连接可自由回转地收容于各前后延伸支架的驱动轴的前端部，并在各驱动轴的后端部通过组合离合器连动地连接可自由回转地收容于后端支架的栽插臂轴，在该栽插臂轴连动地连接具有栽插爪的栽插臂，而且，在后端支架配置上述组合离合器。"
"10220858","水稻插秧机","CN01108965.2","一种水稻插秧机，其特征为：在装备有发动机的车架上安装着可以自由升降的插秧部；同时，将传递发动机的输出功率的无级变速带内设在变速箱里；并将该变速箱固定在左右车架之间。"
"10226609","水稻插秧机中的秧栽植装置","CN00104917.8","在水稻插秧机中的秧栽植装置(A)中，为了将载秧台(22)在合理的位置分割，并且可通过适合的操作使横向的尺寸减小，则载秧台(22)由主载秧台(22M)与可与其分离的分离载秧台(22S)构成，并且另外设置连接机构(K)和辅助臂(77)，该连接机构在两个载秧台(22M，22S)的连接与分离之间进行切换，该辅助臂以可旋转的方式与分离载秧台(22S)卡合，将分离载秧台(22S)送到形成于主载秧台(22M)上的收纳部(P)上。"
"10226611","一种烟草催芽型包衣丸化种子的生产方法","CN03135483.1","本发明公开了一种烟草催芽型包衣丸化种子的生产方法。该方法将精选的烟草种子，放入0.5％的硫酸铜水溶液中浸泡，取出后用清水冲洗干净，晾干；放入装有自来水的蒸馏水瓶中，然后放在人工气候室中进行催芽，催芽温度为25℃～28℃，催芽时人工气候室光照时间为光/暗交替各12小时；催芽时间为30～40小时；当见到大多数种子种皮刚破时，即将种子从蒸馏水瓶中取出并烘干；然后按常规技术经成核、丸化、定型、抛光、染色并烘干，即得到所需的烟草催芽型包衣丸化种子。本发明对烟草种子先进行一定条件下的催芽后再包衣，生产出高活力的烟草催芽型包衣丸化种子。"
"10230378","移动农机的操作装置","CN01132648.4","本发明的目的是使移动农机的作业装置升降操作性容易化。本发明的插秧机的变速杆构造，其特征在于，在变速杆1的把手部2上，设有进行作业装置的升降的升降开关4、和进行作业传动的作业开关5。"
"10230379","水田作业机","CN01112229.3","一种水田作业机，通过液压装置，自动升降控制插秧机的插秧装置等作业装置，为了在作业行走中不易发生过度调节的上升速度设定下稳定地进行自动升降控制，同时在田埂等处可以充分的速度快速地强制上升作业装置，设有上升极限设定机构102，在操作升降阀60的操作杆66至少处于栽植位置时，限制该升降阀60朝上升位置一侧的动作，其中，升降阀60用于根据接地传感器SF的变位维持插秧装置4相对水田表面T的设定高度。"
"10235173","插秧机","CN01823007.5","一种插秧机，具备驱动插秧爪17的插秧机架20和通过稻秧进给齿轮箱59与插秧机架20连接的稻秧进给部件58，稻秧进给部件58在其中一侧形成纵向进给凸轮轴65，在另一侧形成横向进给丝杠轴66，同时，使这些凸轮轴65及丝杠轴66从机体中央向左右分开进行配置，从而，使插秧部15的左右重量平衡良好使插秧精度维持稳定，同时，从机体中央将纵向进给凸轮轴65的纵向进给凸轮116及横向进给丝杠轴16的滑块114从机体中央左右分开，因而使这些的维修保养容易进行。"
"10239360","乘用插秧机","CN01823060.1","本发明是将作为移苗部(15)的滚动支撑部件的中间管(160)，设置在作为与该中间管(160)正交方向的移苗架(20)的横梁(45)上，在俯视下至少使该中间管(160)的一部分与横梁(45)重叠，作为连结中间管(160)和横梁(45)的连结部件的挂钩台(161)假如即使需要，也由于该挂钩台(161)的小型化，和施加于此的动量的减少，而可以使用与原来相比重量轻、价格低的挂钩台(161)，谋求乘用插秧机的轻量化以及低成本。"
"10242112","水稻插秧机","CN01108966.0","一种水稻插秧机，其特征为：在装备有发动机的车架上安装着可以自由升降的插秧部；同时，将传递发动机的输出功率的无级变速带内设在变速箱里；并将该变速箱固定在左右车架之间。"
"10244038","黄瓜种子薄膜包衣工艺","CN200310114602.1","黄瓜种子薄膜包衣工艺，属于植物种子包衣工艺。其步骤：将待包衣的黄瓜种子倒入包衣锅内，同时开启风干机，保持一定的转速，对种子预处理；开启空压机，将喷枪吸液管插入装有包衣剂A、B混合液的容器，调好喷枪的位置，达到一定压力时，开启喷枪均匀向旋转的种子喷雾，当包衣剂溶液剩余1/3时，提高包衣锅的转速；包衣剂溶液喷完后，冲净喷枪，换上增亮剂溶液进行喷雾；喷雾结束后，包衣锅继续旋转，以增加种子光泽，旋转一定时间后停机并停止干燥，将种子取出摊晾后即可包装。本工艺操作简便高效、价格低廉、包衣质量高、有利于鉴别和保护品种。主要用于黄瓜及类似蔬菜种子薄膜包衣。"
"10245961","圆柱齿椭圆齿行星系分插机构","CN03116368.8","本发明公开了一种圆柱齿椭圆齿行星系分插机构，链轮箱内的中心链轮带动左右齿轮盒转动，齿轮盒内的中心圆柱齿轮固定不动，与中心圆柱齿轮啮合的两个圆柱齿行星轮随齿轮盒转动，带动与其同轴的椭圆齿轮转动，该椭圆齿轮又与行星椭圆齿轮啮合，导致该椭圆齿轮相对于齿轮盒作非匀速转动。与行星椭圆齿轮固接的一对栽植臂的绝对运动是齿轮盒的圆周运动和行星椭圆齿轮的非匀速转动的运动合成。本发明减少行星轮轴到中心轴距离，减少回转半径，减少了惯性力；齿轮盒采用圆盘式对秧苗的冲击小，可以减低伤苗；结构合理。选择合适的结构参数，栽植臂的秧针轨迹满足水稻插秧的工作要求。"
"10247412","移植机的苗移植机构","CN99118740.7","一种移植机，对于将依靠左右1对取苗爪(23)从载苗台(21)的托苗盘(22)取出的苗(N)交接给左右一对的植苗爪(25)进行种植，使左右植苗爪(25)的交接苗位置的左右间隔宽度变小，并且使植苗位置的左右间隔幅度变大。依靠左右1组取苗爪从载苗台的托苗盘同时取苗使对2行用苗的左右1组植苗爪的良好交接成为可能。"
"10252471","种子床及其制造方法和播种方法","CN02125286.6","本发明提供一种种子床，该种子床可以助长导入树木的根系象天然性树木那样长得又长又深，能促进发芽和初期生长，并能减少由于干燥所导致的幼苗的枯损，并且能使按栽植法无法实现的全年施工成为可能。该种子床的特征在于，在由含有肥料成分并具有保水和排水功能的耐水性植物生长基盘材料成形、在一处或适宜的多处设置有沿纵向贯通的孔的，具有适当长度的柱形物中，在上述沿纵向贯通的孔中填充有种子。"
"10252832","操作水稻插秧机工作装置的杆的布置","CN01811684.1","本发明提供一种包括车体和插秧部的水稻插秧机的操作机构，其中在行进、水稻插秧工作和秧苗输送工作时的机器操作性得到改善，并且可以有效使用车体上的空间。供操作者脚放置的踩踏板、设置有座位(5)的后结构部和将踩踏板与后结构部相互连接的直立部(48)设置在车体中。装置离合器杆(53)、敏感性调节杆(51)和液压制动杆(52)设置在直立部(48)。装置离合器杆(53)设置在直立部一侧，敏感性调节杆(51)和液压制动杆(52)设置在其另一侧。"
"10252833","插秧机的载秧台","CN99806828.4","一种例如为8行的多行插秧机的载秧台(16)，左右一侧的1行或多行的分割载秧台(16D)可相对固定于插秧机的主载秧台(16M)装拆，对应于该主载秧台(16M)的载秧面侧和该分割载秧台(16D)的背面侧，分别设置上1点和下左右2点共3点支承构造，该分割载秧台(16D)可载置固定于该主载秧台(16M)的上方。在该分割载秧台(16D)于左右两侧设置手柄(40L、40R)，一方的手柄位于比另一方高的位置。上述下左右2点的支承构造通过将配置于该分割载秧台(16D)的嵌合销(41L、41R)分别嵌入到配置于该主载秧台(16M)的支承管(43L、43R)而进行支承。"
"10256407","一种烟草生物型包衣丸化种子的生产方法","CN03135484.X","本发明公开了一种烟草生物型包衣丸化种子的生产方法。该方法主要包括①生物包衣活性菌的分离与筛选；②活性菌原液的制备；③种子的生物包衣。本发明以活性菌原液或者其浓缩液替代水配制营养液，按常规方法进行种子丸化处理。本发明生产的生物型包衣丸化种子除能较好地防治烟草萌发及苗期主要的猝倒病外，还能拮抗种子主要霉变微生物烟草赤星病菌，并可促进烟草种子萌发、促进幼苗生长。"
"10259142","弯头旁通式注肥装置及其控制方法","CN03104909.5","一种弯头旁通式注肥装置及其控制方法，其中所述的注肥装置具有：一清水输入管路，一肥水输送管路，该清水输入管路与肥水输送管路间具有一连接弯头；一肥料罐，为可控制肥料输出量的肥料罐，其包括一肥料容置腔和一肥料控制腔；一肥液输送管的第一端连接肥料罐的肥料容置腔，第二端与弯头内侧旁通相连接；一输水管的第一端连接弯头的外侧旁通，第二端与肥料罐的肥料控制腔相连接。本发明克服了公知技术的缺点，其注肥流量随弯头中流量的变化互动，水头损失小，注肥均匀且注肥浓度、速度可调；液体肥料贮存罐与注肥装置肥料室连接，当肥料室内液体肥料用完后，利用重力向肥料室添加液体肥料；且其稳定性好，操作简单，成本低。"
"10262049","水田作业机","CN02148041.9","提供一种在水稻插秧机等水田作业装置中，液压回路结构简单、成本低廉的、利用电磁阀进行动作控制的、驱动升降连接到机身后部的水田作业装置的单工作式液压缸构成的升降装置。为达到这一目的，在与液压缸(6)连通的压力油给排油路(b)上加装配置控制单向阀(29)。当主滑阀(23)位于空档位置时，在压力油供应油路(a)和压力油给排用油路(b)被断开的同时，控制单向阀(29)的开路用控制油路(d)经由主滑阀(23)与油箱连通。该压力油供应油路(a)经过利用弹簧(32)闭合加载的压力补偿阀(33)与油箱连通。该压力补偿阀(33)的开路用控制油路(f)连接到压力油供应油路(a)上。压力补偿阀(33)的闭路用控制油路(e)中间经往复阀(31)与压力油给排用油路(b)和控制单向阀(29)的前述控制油路(d)连通连接。"
"10268122","水田作业机","CN03132738.9","在将施肥装置(30)搭载在自行车身(18)上的水田作业机中，前述施肥装置(30)包括：贮存肥料的料斗(31)，设于前述料斗的下部、从该料斗将贮存的肥料输出的肥料输出装置(40)，以及产生从该肥料输出装置中将肥料供应给开沟施肥器(26)用的搬运风的鼓风机(54)，其中，与前述鼓风机(54)的吸气部(54a)连通的吸气导管(55)的吸气口(55a)配置在发动机排气消音器(11a)附近，并且朝向车身内部开口。"
"10275159","农用作业机","CN01814371.7","为了谋求农用作业机的轻量化，在构成机体构架的向前后方向延伸的左右一对的中部构架构成体的前部上架设向左右宽度方向延伸的预备苗载台支承构架构成体，用该预备苗载台支承构架构成体的左右侧部支承预备苗载台，在上述农用作业机中，在左右一对的中部构架构成体的前部上横架前侧构架构成体，同时把该前侧构架构成体的左右侧部连结到上述预备苗载台支承构架构成体的左右侧部上。"
"10279250","水稻直播机专用播种器","CN02126718.9","本发明公开了一种使用方便、省成本，播种量可调、可穴播又可条播，实现水稻带芽种子的直播作业，便于实现播种行距可调，播种质量能满足优质杂交稻和常规稻的农艺要求的一种水稻直播机专用播种器。本水稻直播播种器其组成：中间轴、播种轮、内外调节爪、调节螺钉、调节手轮、箱体、挡扳刷、挡板、左右端盖等。播种轮与内外调节爪的凹凸槽在轴向形成盛种子用的多个对称的窝眼孔。通过调节螺钉、调节手轮来调节窝眼孔的大小和播种种子量以及实现穴播和条播间的转换。通过软挡刷挡住多余种子和减少种子的损伤。"
"10280040","一种含有富硒增产素的种衣剂的生产方法","CN200510049342.3","本发明涉及一种含有富硒增产素的种衣剂的生产方法，将各原料按下述的重量百分比在常温下混合研磨均匀而成，含有富硒增产素母液10-15％，保护剂1-3％，成膜剂40-60％，其余为水；其中的保护剂采用多菌灵或福美双；成膜剂按重量比甲基纤维素3-8％加水吸胀、研磨，聚乙二醇2-5％粉碎后，在大于60℃水中溶解，然后加乙醇15-20％和着色剂1.5-2.5％混合研磨而成。本发明优点是：1、富硒增产素能够显著提高农产品的含硒量；2、显著提高有机硒占农产品中总硒百分含量；3、适用于我国缺硒或低硒地区，提高人群硒水平，而且对防病治病具有积极的意义。"
"10294573","乘式水稻插秧机","CN98814357.7","一种乘式水稻插秧机，具有包括前轮和后轮的机体和设置在机体上的动力部及插秧部，并且具有把机体的主平台和辅助平台一体成型的机体罩。并且还具有在车体上以靠近其1顶点处来支撑驾驶座重量负荷的在侧视面上呈凸状三角形的车体底盘。"
"10296796","插秧装置","CN200410003752.X","以往的插秧装置由于在各个插秧道上都设置旋转箱，所以在有多条插秧道的苗移植机中，旋转箱的个数增多，另外，随着旋转箱的个数多，包括中间齿轮、副轴齿轮以及末端齿轮等的齿轮的零件数量也增多，重量增加，成为成本上升的重要原因。本发明的插秧装置，其特征在于，在旋转箱的左右安装有插秧用具，该旋转箱在左右方向的旋转中心线周围旋转。"
"10305470","设施蔬菜肥水气一体化施用装置","CN200510011808.0","设施蔬菜肥水气一体化施用装置，包括由具有加料口的反应器、位于反应器上部的贮酸桶、加酸口和与反应器和贮酸桶相连的加酸管路组成的反应系统和肥水气施用系统，其特征在于肥水气施用系统包括供气部分、贮肥配肥部分和灌溉施肥部分，供气部分、反应系统和贮肥配肥部分上下依次连接，灌溉施肥部分与贮肥配肥部分相连。本发明是在一个装置内同时设置了供气部分、贮肥配肥部分、灌溉施肥部分，使设施蔬菜施可以直接用本装置同时施用CO<SUB>2</SUB>气肥、液肥和水，不仅满足冬季温室大棚中水气肥的施用，还可酸化土壤有利于蔬菜生长。同时解决了温室低成本供气、肥水配施和化学法废弃液的利用问题，提高了肥效，减少了浪费，并显著地改善了蔬菜根际环境。"
"10305471","蔬菜移植机","CN01133037.6","由取苗爪(23)从载苗台(21)的苗盘(22)取出钵苗(N)，将取苗爪(23)的钵苗(N)供给到栽苗爪(25)，由栽苗爪(25)栽植钵苗(N)，并且，设置侧滚控制机构(33)，由该侧滚控制机构(33)控制设置有上述取苗爪(23)和栽苗爪(25)的机体的左右倾斜。这样，可一边横断朝一个方向倾斜的田地，一边以高栽植精度高效地进行移植作业或将苗栽植到左右沟深变化的垄面(M)的移植作业等，而且可容易地提高直进行走性等。"
"10309092","乘坐型插秧机","CN200410045318.8","本发明提供的乘坐型插秧机，对转向机构的转弯控制和转弯时或转弯后的各种作业，能精度良好地进行连动控制。设有配置在行进方向左右的车轮，还设有左右侧传感器，该左右侧传感器分别接通或断开对被转向车轮的传动。还设有转弯连动控制装置，该转弯连动控制装置根据转弯内侧车轮转速的检测，使转弯时插秧作业等的作业自动进行。"
"10316123","种籽的生物处理方法","CN03152802.3","本发明涉及一种可以提高种籽发芽率的处理方法，属于农林种植技术领域。该方法包括A、选种——采集、选取高休眠植物种籽；B、喂食——将种籽清理消毒，拌之诱食剂和润滑剂，饲喂给家禽或家畜；C、收集——收集饲喂动物粪便，将种籽从动物粪便中分离。由于动物体内不仅具有一定的温、湿度，而且含有各种有机酸、生物酶，形成了人类目前尚难以建立的特殊生化环境，因此对处于休眠状态的种籽可以产生独特的激活作用，结果有效打破种籽休眠，明显提高了发芽率。本发明打破了传统种籽的各种物理、化学处理方法的禁锢，提出了既简单实用又切实可行的生物处理方法，从而可以解决长期以来难以解决的林木种籽发芽率低的问题，对绿色环境具有重大意义。"
"10316755","用于对松散材料进行辐射处理的方法和装置","CN02815422.3","本发明涉及一种用于对松散材料进行辐射处理的方法，尤其涉及一种用于对象谷物这样的食品进行处理的方法，其特征在于：在所述辐射处理出现故障时，未被处理的松散材料能够与已处理好的材料分离，然后将未被处理的松散材料送回该工艺的起始部分，以对这些材料进行处理。本发明能够避免对大量的材料进行重新处理，而且能够将该装置的污染部分和未污染部分清楚地分开。"
"10329643","作业车","CN200380104007.8","本发明提供一种以发动机输出驱动使车速等作业速度变速的变速机的插秧机等作业车，例如在行走等作业速度的低速或停止时使发动机转数一定为低速状态，使发动机安静且有效地驱动而进行良好的作业，其中，具有以发动机(2)的输出进行驱动地使作业速度变速的变速机(48)，通过连结部件(88)把对变速机(48)进行变速操作的作业变速操作部件(30)、和变更发动机转数的发动机回转变更部件(87)连动连结起来。"
"10338798","制造人造种子的方法和系统","CN200510082324.5","本发明提供一种制造人工种子(20)的方法。该方法包括将种子壳(22)输送到培养基填充台(300)并且将培养基(26)设置到该种子壳内。该方法还包括将该培养基密封(28)在该种子壳的一端内，将一个胚(42)设置在该种子壳内，并将该胚密封(44)在该种子壳内。"
"10350187","蔬菜移植机","CN200480007602.4","在蔬菜移植机中，具有从载苗台(14)上的苗托盘(15)取出苗(N)、移栽到田地上的苗移栽爪(16)，该苗移栽爪(16)可上下摆动地被枢轴支撑在旋转的旋转部件(17)的旋转端部，在该苗移栽爪(16)的一次量的取苗·移栽行程中的该苗移栽爪(16)的摆动支点(49·53)的轨迹(A)是以该旋转部件(17)的旋转支点(31)为中心的大致三角形状，其一个顶点对应于上述的苗移栽爪(16)从苗托盘(15)的苗取出运动，另一个顶点对应于上述的苗移栽爪(16)进行的向田地的移栽运动。苗推出部件(64)驱动用的推出凸轮(24)以及苗移栽爪开闭用的开闭凸轮(22)在凸轮轴(53)上，隔着该苗移栽爪(16)，配设在该旋转部件(17·18)的相反侧。"
"10356364","苗移植机","CN200480004917.3","一种苗移植机，具有：设置在机身本体上的苗供给部和设置在该苗供给部的侧方上的苗装载台，使该苗装载台可水平转动并且可上下升降地构成，该苗供给部和向该苗供给部侧转动的苗装载台被上下设置，在将该苗供给部与该苗装载台上下重叠设置时，一旦该苗装载台下落，则有可能与其下面的苗供给部碰撞使其损伤。为了防止上述情况，在上述苗移植机上设置将向上述苗供给部的上方位置转动的苗装载台的下降限制在规定高度上的限制装置。"
"10367483","水田作业机","CN200410076900.0","在行走车身的前进方向的左右设置划线标识器，该划线标识器用于
在农作业部和行走车身的前进的同时对下一行程中行走车身通过的位
置的表土面划线；另外，作为将该左右的划线标识器保持在对上述表土
面划线的作用位置和不划线的非作用位置的划线标识器驱动装置(82)，
可由包括单一的电动机(85)和L字形臂(80)、拉索(81)等构成的
标识器的作动连接构件操作。"
"10375775","用于处理种子的方法","CN200480003315.6","本发明涉及一种用于处理种子的方法，该方法包括下面的步骤：(a)
灭菌步骤，其中在最低0.5巴的绝对压力下灭菌0.1-60秒，使种子与凝聚
温度为80-200℃的凝聚介质接触，其中该介质在这些种子上凝聚并且将
这些种子的表面温度升高到至多200℃；和(b)冷却步骤，在该步骤中
使在步骤(a)中获得的已灭菌的种子冷却，其中在至多30秒内将这些
种子的表面温度降到至多50℃，并且设置步骤(a)和(b)的条件以使
这些种子的发芽能力相对保持或增加。本发明进一步涉及根据本发明的
方法可以获得的种子。"
"10377281","一种自控定位播种机","CN200510043419.6","本发明公开了一种自控定位播种机，其特征在于机架(2)前部
设有犁，犁连接旋转体(3)，旋转体(3)与播种装置、施肥装置传
动连接，旋转体(3)包括设有梁条(34)的轮子(33)，挂接装置包
括固定套筒(47)、旋转手柄(48)、挂接主体(43)、牵引架(42)，
挂接主体(43)上设有对称突起(49)，牵引架(42)的固定内轴(45)
连接机架体(51)，固定内轴(45)外套有活动套筒(44)，其上设有
凸卡(46)，凸卡(46)上的凸起与活动套筒(44)上的凹槽相对应，
活动套筒(44)的两侧的套耳(50)与升降螺栓(41)、挂接主体(43)
活动连接，挂接主体(43)的下端设有限位板(39)，本发明在垄面
定位播种深度，播种深度一致，苗全、齐、均、壮，稳产高产。"
"10389287","对地作业机用控制装置","CN200410081861.3","一种对地作业用控制装置，具有控制器(22)，该控制器(22)与具
有作业器(7)和方向盘(4)的机体的转弯动作连动地控制上述作业器
(7)的作业动作，其特征在于，具有切换装置(21)，该切换装置(21)
对上述控制器(22)的控制进行选择操作，使上述控制器(22)进行如
下的控制：操作方向盘(4)使机体开始转弯动作后的转弯距离达到规定
的距离(n2)时使作业器(7)进行作业动作；和在机体行进中使作业器
(7)的作业动作停止后的转弯距离达到规定的距离(n2)时使作业器(7)
进行作业动作。"
