"patent_id","名称","申请号","摘要"
"10143332","检测白蚁的远程监视系统","CN97199727.6","本发明提供了一个监视多个区域的白蚁的系统，包含：至少一个白蚁传感器，适于放置在每一个所述区域中，每个所述白蚁传感器包含至少一个监视块，该监视块包括白蚁可食材料和放于至少一个监视块邻近或其中的电导体，该电导体包括可被白蚁咬断的材料，该电导体构成一个连续的电桥电路，这样，当白蚁咬断电导体时，该连续的电桥电路中断；以及一个数据收集单元，该数据收集单元独立于其它区域中的白蚁传感器与所述的每个区域中至少一个白蚁传感器通讯，该数据收集单元能够独立于其它区域寄存在任何所述区域中白蚁的出现。"
"10146482","熏蒸设备","CN00808152.2","一种熏蒸设备包括：(a)一个传统的海运集装箱(10)；(b)隔墙(14)，分隔集装箱为一个熏蒸腔(16)和一个控制室(12)；(c)装置(24)，设置为提供气体到熏蒸腔(16)中；(d)位于控制室内的控制装置(26)，用于控制通入熏蒸腔(16)的气体；和(e)提取装置(36，38，40，42，44)，用于当从系统控制盒(26)发出控制信号时从熏蒸腔中除去气体。"
"10172376","物理杀虫机","CN00115959.3","物理杀虫机，它由亚紫外光光源及光阀组成，其特征在于亚紫外光源的波长430～620nm，光阀由金属网电极和驱动电路构成，金属网电极的正负极在同一平面相间布置，正负极间有间歇的高频高压电场，频率1200-3500Hz，电压2000-3500V。辅以低频电磁波和超声波，则既具有在大灰尘场所可靠工作，击杀距离远范围大，空中杀飞虫效果好的优点，又能有效杀灭物堆和土壤中的害虫，可以完全不使用传统的药物薰蒸和直接药杀。"
"10178381","昆虫抑制袋","CN01814373.3","本发明公开了一种分散挥发性活性物质(例如昆虫抑制剂)的物品(例如昆虫抑制袋(10)。该袋子(10)由单层聚合的不吸收的薄膜形成；该袋子中保持有活性物质，直到需要使用袋子；当打开袋子时，袋子(10)的壁用作基片，活性物质从该基片上可以容易地被动挥发。本发明还公开了采用热密封技术形成这种袋子(10)的方法，以及使用这种袋子(10)的方法。"
"10198129","风扇式药剂扩散装置","CN01805958.9","风扇式药剂扩散装置，其特征在于，具备具有吸气口和排气口的装置本体(1)，设置在前述装置本体中的具有具备风扇壳(12)和空间部分(21)的风扇(13)和马达(14)的风扇式送风机(11)和，设置在前述空间部分内含有有效成分的有效成分浸含体(23)，其中所述风扇式送风机从前述吸气口通过前述空间部分向排气口流通空气。该装置本体内部具有简单的结构，且可将装置小型化。另外，对在装置本体中配置有效成分浸含体没有限制，设计自由度高。另外，不降低风扇的耐久性，可使有效成分的量变得充足。"
"10202285","蜚蠊毒饵剂容器","CN03102211.1","本发明提供一种蜚蠊毒饵剂容器，对供蜚蠊驱除用容器，不仅具有防误食功能和强度上的性能、基于现有提案中还未充分得到的蜚蠊习性完全满足提高进入·吃食性、使用简便、制造成本低廉性等要求。在具有2个出入口和中央具有毒饵剂容纳部分的隧道状蜚蠊毒饵剂容器中，形成由上述出入口向毒饵剂容纳部分坡度为3～15度向上倾斜的进入路、从被装载在上述毒饵剂容纳部分的毒饵剂上端到天棚的空隙为3mm或以上形成的蜚蠊毒饵剂容器。"
"10214717","照明器具","CN03152399.4","一种照明器具，在具备防虫效果的同时可以减少对植物形成花芽产生的影响，该照明器具使用具有以下特性的光源，即在对植物形成花芽影响强的波段560～700nm的下限560nm与防蛾效果高的波段460～580nm的下限460nm之间具有光谱辐射能量的峰值，而且，光谱辐射能量φe(λ)与植物色素的光谱吸收度Pr(λ)的乘积在560～700nm的区间积分的值与包含在460～580nm的波段中的辐射通量的比在0.05以下。"
"10226712","与抗虫措施相关的装置及应用","CN01820810.X","本发明涉及用于直接地或间接地通过对害虫提供蔽所的物体如物质基层执行抗害虫的防治措施的装置及应用。防治措施是基于借助干雪颗粒冷却害虫、物体等的冷却速率，将雪颗粒的大、小尺寸分配在选择的尺寸范围中及将速度分配在选择的速度范围中。与该装置及应用相关的优点在于，环保及可获得快速防治，并在于通过逐渐供给雪、用雪颗粒的不同尺寸及速度执行冷却获得了高效的冷却系统。以此方式可获得确定目标的快速冷却。在初始阶段中主要是小雪颗粒通过升华及快速施冷进行冷却。然后用大雪颗粒穿透由小雪颗粒产生的气体阻挡层并压迫该阻挡层，与此相关地可维持或进行冷却。使用了一部分由气体压力降低引起的动能使上述雪颗粒以最佳方式撞击目标。"
"10230348","药剂挥散装置及药剂挥散用药剂盒","CN02123567.8","本发明的目的是提供在常温使药剂从药剂浸渍体挥散的药剂挥散装置。药剂挥散装置，其特征在于，具备形成了可收容药剂盒的支持凹部的装置本体和，在该支持凹部内旋转自由地被支持的药剂盒和，通过与该药剂盒的旋转支持轴连接的马达和电源形成的，该装置本体内内藏的驱动方式和，在该装置本体内被枢着自由地安装的用以覆盖该支持凹部内药剂盒的盖，进一步，上述药剂盒是，环状中空结构体，在收纳粒状药剂浸渍体的同时在其内周面和外周面分别形成开口部的中空结构体和，位于该中空结构体中心的与上述旋转支持轴连接的轴心部和，结合该轴心部和该中空结构体的多个辐部和，从该中空结构体的内周面向其中心延伸设置的，促进从该中空结构体的内周面向外周面的气流通过的叶片部一体成形形成的。"
"10230349","小动物捕捉器","CN00103753.6","本发明提供一种小动物捕捉器，它至少在具有老鼠能通行的内径的通道之内部地板面上设有小动物能掉落下去的陷井地板，在该陷井地板的下方安装着捕捉容器，在该陷井地板的侧向至少设有2组光传感器，用于在陷井地板面上方横穿探测射线，该光传感器中的至少1组是高位置光传感器，它设置成其探测射线横穿地板上方10mm～50mm高度范围，至少另1组是低位置光传感器，它设置成其探测射线横穿地板上方0.5mm～2mm高度范围，当所述高位置光传感器或所述低位置光传感器中的至少任意一方探测到小动物时，所述陷井地板便打开，使所述小动物掉入该捕捉容器内，小动物掉入以后，陷井地板便立即关闭。"
"10232882","自动清虫灭虫灯","CN200310108530.X","本发明涉及一种自动清虫灭虫灯，灯帽下装有引虫灯管，灯管周围设置由正负高压线依次排列的高压栅，下端设置集虫盘，自动升降的毛刷紧贴高压栅。由于在高压栅外侧装有刷子，刷子由定时芯片控制转、停的电动机通过组合滑轮组往复拉动升降，从而能及时自动定时清除附在高压导线上害虫，免去了人工清除附在高压导线上害虫的麻烦，节省了人力，提高了灭虫灯的杀虫效率。"
"10237217","具有空气清洁功能的捕蚊器","CN02813693.4","本发明涉及一种具有空气清洁功能的捕蚊器。捕蚊器包括：收集容器，其中具有入口、出口以及未用的空间；紫外线诱蚊灯，装在收集容器的入口，用于吸引蚊子；装在收集容器出口的收集网；风扇，装在收集容器内，从而在其运行过程中将被紫外线诱蚊灯吸引并杀死的蚊子吸到收集网内；以及涂在收集容器至少一个表面上的光触媒涂层。杀死蚊子可以仅通过风扇的运行。本发明装置杀死以蚊子作为媒介并在空气中漂浮的病菌，从而防止人和家畜由于病菌造成的感染。"
"10242082","消灭和驱除有害生物的方法","CN98119804.X","本发明提供一种用以消灭或驱除有害生物的方法，该方法能够减少释放用于消灭或驱除有害生物的药液所需的能量，且具有较高的安全性，长时间保持稳定，该方法包括向空气中发散作为被雾化的药液微小颗粒的含有有效成份的药液，其特征在于，雾化药液被间隔喷射，以使得到的雾化药液微小颗粒具有如下的颗粒尺寸分布：根据体积累积分布，药液微小颗粒累积体积的90％具有小于或等于20μm的颗粒尺寸。"
"10248080","风扇式害虫防治装置","CN200410034724.4","风扇式药剂扩散装置，其特征在于，具备具有吸气口和排气口的装置本体(1)，设置在前述装置本体中的具有具备风扇壳(12)和空间部分(21)的风扇(13)和马达(14)的风扇式送风机(11)和，设置在前述空间部分内含有有效成分的有效成分浸含体(23)，其中所述风扇式送风机从前述吸气口通过前述空间部分向排气口流通空气。该装置本体内部具有简单的结构，且可将装置小型化。另外，对在装置本体中配置有效成分浸含体没有限制，设计自由度高。另外，不降低风扇的耐久性，可使有效成分的量变得充足。"
"10261445","微生物媒介的诱蚊方法及装置","CN02158790.6","本发明提供一种利用微生物媒介的诱蚊方法及装置，其机制包括使用蚊虫诱饵以仿真人体体表温度和人体散发的气味来吸引蚊虫，并进而达到控制及诱捕的目的。该装置中包括一可调控加热的装置，会提供适当的热度来帮助蚊虫诱饵挥发与仿真人体体表温度。该蚊虫诱饵至少包含一细菌培养产物；该蚊虫诱饵对于人类并不具毒性，而且该蚊虫诱饵中所含的蚊虫引诱剂，乃是由其包含细菌分解物与其自然代谢产物所组成，并非人工合成。此外，本发明也可以结合通电栅格或含杀虫剂网的使用以杀灭所引诱的蚊虫。"
"10263583","熏蒸设备","CN01814314.8","一种用于对装有物料的熏蒸室进行熏蒸的熏蒸设备，该熏蒸设备包括：(a)能够以可拆卸方式定位在熏蒸室的开口中或开口处的模块组件(8)；(b)以孔(12)为形式的熏蒸剂引入装置，以及输送阀装置，它们都与模块组件(8)可操作连接，以使熏蒸剂流入到熏蒸室中；(c)以管(28)为形式的、连接至孔(30)的排放装置，以及连接在管(28)上的风扇(34)，它们都与模块组件(8)可操作连接，以便将大部分的熏蒸剂从熏蒸室中排出去；(d)以可拆卸的底盒(40)为形式的、并且与排放装置的管(28)可操作连接的吸收装置，该底盒(40)用来吸收从熏蒸室排出的几乎所有的熏蒸剂。"
"10269865","风扇式药剂扩散装置","CN01819471.0","本发明提供一种风扇式药剂扩散装置，该装置是通过使药剂容器(3)和电源容纳体(2a)在可相对于装置主体(1)自由拆装的同时，以相互不受容积限制的方式配置，因此可以将装置主体、药剂容器、电源容纳体分别制成独立的容积，可以容易地设定相对于风扇送风量的药剂保持量、使用时间的长短等的风扇式药剂扩散装置。此外，还提供一种药剂浸渍体不会卡入药剂容器主体(3a)的端面和盖体(3b)之间的药剂容器，以及一种可以使风扇式药剂扩散装置相对于从薄至厚的被夹持物牢固地固定的夹紧装置。"
"10273891","灭鼠毒谷罐","CN200410028102.0","本发明公开了一种灭鼠毒谷罐，包括下端设有开口的药罐本体、两端设有开口的弯头管，弯头管上端开口与药罐本体下端开口相连。所述弯头管内径为24到34毫米，其弯头为直角弯头，弯头管水平部分长度为55毫米，弯头管上端开口与药罐本体开口连接形式为螺口连接，弯头管水平部分的底壁上开有小通孔，所述药罐本体顶端设置有挂孔。本发明优点在于：结构简单，成本低，节约鼠药，外形美观；符合老鼠的生物特性，灭鼠效果好；可以避免鸟类误食，有利于保护生态环境，不污染环境；适用面广，如养殖场、仓库、家庭等各种灭鼠环境及有需要灭鼠的地方。"
"10279553","用来按体积处理地面和植物的方法及系统","CN02814103.2","本发明涉及一种用于按需要和根据体积控制地面和植物的方法和系统。本发明的目的是，这样地改进开头所述类型的方法和系统，即空间地无空缺地扫描植物群丛，在考虑形态学、植物生理学、仪器技术和与地理位置有关的特性的同时有效地控制地面和植物状态的影响。"
"10283455","一种防治害虫的方法及该方法使用的药袋","CN200410026869.X","一种防治害虫的方法及该方法使用的药袋，其特征在于：把固体杀虫剂装在用透水材料制成的包装袋内，将该透水药袋固定在害虫危害部位上方的茎叶上，利用渗入包装袋的雨水或喷施水溶解部分杀虫剂和/或形成乳浊液，使流出袋壁的药液顺茎叶流到被害虫危害的部位，杀灭寄居在该部位的害虫。本发明对被害虫危害部位的用药靶向性高，药剂利用率高，防治费用低，药效功效期长，环境污染小，且装置简单，成本低，便于实施。"
"10283456","杀虫设备的收集容器和设有这种收集容器的用于捕获昆虫等的设备","CN02812124.4","一种适用于杀虫设备(2)的收集容器(1)，包括一个底壁(9)，从底壁(9)横向延伸的多个侧壁(10)，和与侧壁(10)顶部接合的一个上壁(11)，该上壁中形成一个入孔(13)，使被设备捕获的昆虫可以进入该收集容器中。在入孔(13)处接合有一个摇动元件(16)，该摇动元件可以以旋转方式移动，以根据设备(2)中的空气循环情况来封闭和/或打开入孔。摇动元件(16)在形成于上壁(11)中的表面凹槽(14)的内部运转，并且具有一个阻塞部分(16b)和一个配重(16c)，该阻塞部分直接在入孔(13)上活动，以封闭和/或打开入孔，该配重借助一个隔离件(17)与空气和昆虫通道区域(14a)隔开，该隔离件是设置在表面凹槽中的。"
"10289105","害虫防治装置","CN98801300.2","本发明涉及害虫防治，具体地涉及一种通过在非加热条件下向保持着药剂的药剂保持材料吹风来使药剂成分从药剂保持材料中挥发出来以对飞翔性害虫进行防治的技术。本发明的害虫防治装置(1)具有风扇(8)和用于驱动该风扇的电动机(5)，该风扇(8)能在箱体(2)内产生一股由吸气口(6)流向排气口(7)的气流。害虫防治装置(1)具有一个在无负载时的消耗电流在100mA以下的电动机作为上述的电动机(5)，或者具有一个用于调整上述气流状态以使药剂成分在单位时间内的挥发量成为与使用环境相适应的最佳的气流调整装置，或二者兼而有之。"
"10298248","用于轨道车辆的除草方法","CN02829239.1","本发明主要提供了一种安装在轨道车辆上的除草机的连接装置，包括杂草识别照相机、连接杂草识别照相机的用于识别杂草的PC、气象单元，所述单元均与控制PC连接。控制PC与控制面板连接，控制面板又通过电子控制单元和电子剂量单元与喷洒单元连接。喷洒单元包括水箱、泵、流量计、控制阀、具有轴和喷嘴的喷洒架、以及化学药剂箱、化学药剂泵和化学药剂流量计，上述单元均连接在一起。连接装置还包括连接种类识别PC的种类识别照相机、连接地貌跟踪PC的地貌跟踪激光照相机、以及预喷洒单元和喷洒单元。此外，本发明还主要提供了一种利用上述连接装置进行除草的方法。"
"10300131","诱捕飞行昆虫的系统及其制造方法","CN02819571.X","一种飞行昆虫诱捕装置，其带有含可燃燃料的燃料供应装置，包括支持框架及可置于支持框架上的燃烧装置。燃烧装置有连接燃料供应装置的入口、排气口和连接入口和排气口的燃烧室。入口能够使来自燃料供应装置的燃料流入燃烧室保持持续地燃烧，因而在燃烧室产生废气。所述燃烧装置还包括排列在燃烧室内的催化剂本体。催化剂本体含有催化剂元件及直线延伸的管道。催化剂本体包括起催化作用的活性材料与昆虫诱捕室连接的昆虫进口使飞行昆虫通过昆虫进口进入诱捕室。设有与昆虫进口相连的真空装置。"
"10318830","叠层杀虫剂分配物","CN03803104.3","一种叠层杀虫剂分配物，其中心层含有一种迁移通过外层而到达分配物表面的杀虫剂。该外层也含有迁移到表面以使得对杀虫剂的UV诱导损坏最小化的UV保护剂。"
"10329845","蟑螂等昆虫的引诱捕获器","CN02142738.0","本发明提供了蟑螂等昆虫捕获器，其可以有效引诱蟑螂等昆虫，并有效地提高其捕获效率。所述蟑螂等昆虫捕获器设有用于收容蟑螂等昆虫的收容部，和所述昆虫侵入所述收容部的侵入口，其特征在于，其中设有气流发生装置，该装置用于产生从所述侵入口向所述收容部的外部流动的气流；还在所述侵入口周边设置有发光部。"
"10333031","引诱螨虫的确认用具","CN03106131.1","可以用肉眼很容易地实际观察已成为家居内的过敏原的螨虫。在引诱螨虫的螨虫引诱片(3)上设置可以确认引诱到的螨虫的透视部(4)。螨虫引诱片(3)优选和螨虫身体颜色相反的容易确认引诱到的螨虫的黑色、茶色、深蓝色等。另外，在螨虫和纤维害虫等的害虫引诱片(3)上设置杀虫片，可以捕获并杀死引诱到的螨虫等。"
"10344559","土、木栖性白蚁诱杀装置","CN200610020650.8","本发明公开了一种土、木栖性白蚁诱杀装置。它包括诱杀容器（1）和置于其内的诱杀基体，所述诱杀容器（1）设有引诱通道（3），所述诱杀基体为经引诱剂浸泡且喷有灭蚁剂的带凹痕（4）的纸板。该诱杀装置为开放式，诱杀效果好、成本低、对环境无污染。"
"10346732","一种用塑料薄膜围阻防治榆紫叶甲的方法","CN200510010170.9","本发明公开了一种用塑料薄膜围阻防治榆紫叶甲的方法，是针对榆紫叶甲害虫春季爬上树的特点，采用塑料薄膜围阻的方法阻断害虫的上树通路，对榆紫叶甲进行围阻、灭杀，有效的控制榆紫叶甲种群数量，保证榆树正常展叶生长。具体做法是：在树干上围绕塑料薄膜，先在距地树高1-1.7米处将树皮缝用黄泥环树抹平10-30cm；在对应黄泥处围绕塑料薄膜，围成的塑料薄膜呈喇叭状，且喇叭口向下；在塑料薄膜围成的喇叭口上端与树干结合处用胶带捆扎，封好塑料薄膜的接口。本发明与现用化学药物防治方法比较：环保、安全，操作简单；不受气候条件限制，防治覆盖面可达100％，防治效果好；成本低。"
"10350926","长效连续性捕鼠方法","CN200510125245.8","长效连续性捕鼠方法，本发明公开一种捕鼠的方法，它克服了现有捕鼠方式安全性差和捕鼠成功率低的缺陷。它先把老鼠诱进捕鼠笼内的锁定踏板上；原本后端低垂、前端翘起的锁定踏板翻转成后端翘起、前端低垂，锁定踏板的前端使锁定门绕锁定门轴翻转一个角度，然后锁定门在重力的作用下回位，压住锁定踏板的前端，锁定踏板后端贴靠入口的上沿使老鼠无法从入口钻出；老鼠使锁定门翻转并从其下端钻入装鼠仓，锁定门翻转的过程中，锁定踏板的前端得到释放，在自重的作用下，重新翻转成后端低垂、前端翘起的状态。本方法对人畜没有毒害。"
"10401532","白蚁群族监测灭杀系统","CN200410065914.2","本发明涉及白蚁防治技术领域，尤其是一种可应用于各种环境条件下的白
蚁群族监测灭杀系统，由固定安装在要监测白蚁活动的区域的不透明外壳、可
取出地装入外壳内的托钩和引诱木片、可取出地装入外壳内的透明芯筒和可取
出地装入芯筒内的饵芯组成，外壳和芯筒上分别设置有至少一个孔，外壳上的
孔和芯筒上的孔对齐，本发明的白蚁群族监测灭杀系统，未取食完的饵料可以
被回收再利用；在发现白蚁后再换入装有饵芯的芯筒，饵芯不易霉变；饵芯药
剂低毒低残留，饵站一次安装可长期发挥作用，既可杀灭白蚁，亦可监测白蚁；
打开盖需用专用工具，可防止他人无意打开盖。"
"10415863","车载式双桅柱升降高喷程森防风送喷雾机车","CN200610037012.7","本发明涉及一种车载式双桅柱升降高喷程森防风送喷雾机车，在升降
式高喷程森林防护风送喷雾车的基础上，所述的卡车货厢四角分别设有锚
定卷索机，锚定卷索机上装有钢索，钢索接在升降机顶部的拉环上，喷筒
内装有整流器，整流器前端装有可调喷头，可调喷头通过供液胶管与三缸
柱塞泵的另一出液口连接，操作室内设有设备电控箱、锚定电控箱、升降
电控箱和喷筒角度电控箱。本发明大大提高了升降机的安全性和稳定性，
喷筒的高度达25米，喷程可达60米以上，喷筒能上下摆动和左右移动，
具有风力强劲、压力大、雾粒更小的特点，能有效节约用药量，提高工作
效率。本发明适用于高大路树、宽阔茂密林带和森林防治病虫害等喷雾喷
药。"
"10426608","一种防治设施蔬菜土传病害的土壤消毒方法","CN200510012204.8","本发明涉及一种防治设施蔬菜土传病害的土壤消毒方法，其操作步骤如下：在气温高、
光照好的季节将土壤整平灌水，使土壤的相对湿度达60-85％；灌水后2-3天，均匀撒施石灰
氮，每1000m<sup>2</sup>施用石灰氮60-100公斤；深翻土壤层30cm-40cm，使石灰氮颗粒与土壤充分
接触；用透明薄膜将土壤表面完全封闭，同时将温室或大棚完全封闭，封闭时间为12-20天。
本发明主要是防治由病原真菌、细菌及线虫引起的黄瓜、番茄、辣椒、茄子等多种设施蔬菜
作物土传病害。本发明防治土传病害效果显著、持效性好，并可供给蔬菜氮素、减少硝酸盐
积累、促进植物生长。"
"10426609","用细交链孢菌铜酸、异细交链孢菌铜酸及其盐类控制杂草的方法","CN200510038263.2","本发明为用细交链孢菌酮酸、异细交链孢菌酮酸及其盐类控制杂草的方法，属于微生物
应用于农业植物保护领域；具体是：用5-800μg/g浓度茎叶喷雾处理农田的主要阔叶草、禾
草和莎草，迅速导致杂草受害，直至萎蔫，干枯死亡，具有广谱、快速、高效的杀草活性；
添加助剂增加了杀草活性。"
"10428533","飞翔昆虫捕获器","CN200510124280.8","提供对飞翔昆虫，特别是小体蝇类显示较高的引诱效果和捕获效率，
并且结构简单，不用其他的包装材料包裹就可以在商店陈列的飞翔昆虫捕
获器。
它是将设置有粘接片的本体部、具备用于收纳引诱材的凹部的底面部、
和具有飞翔昆虫的进入口的外壳部连接在一起而一体成形的、塑料制飞翔
昆虫捕获器，被构成为通过将本体部和底面部的连接部以及底面部和外壳
部的连接部内折，并使本体部的前端部和外壳部的前端部接合，形成本体
部的面状部和外壳部的包括进入口的面相对的大致箱状的内部空间，使粘
接片触接在本体部的面状部内侧上从而设置成垂直状，同时用密封带封住
外壳部的进入口，不用其他的包装材料包裹便可以在商店陈列。"
"10434173","机械化负压气流捕鼠方法","CN200610114245.2","本发明公开了一种机械化负压气流捕鼠方法，它利用捕鼠器来捕鼠，捕鼠
器包括一机械动力吸入容器，该机械动力吸入容器上设有排风口和吸入口，在
排风口处连接引风机，该引风机与动力驱动装置相连接；在吸入口上连接一个
或几个吸引软管，吸引软管的端头连接一个吸引头；在该容器的下底部设有一
个排出口，在该排出口上设有一个可启闭的开关闸，吸引头插入到鼠穴深处，
通过动力驱动装置驱动引风机产生负压并将负压气流传递到鼠穴中，使鼠从鼠
穴中被吸出进入机械动力吸入容器。本机械化负压气流捕鼠方法可有效避免现
有技术中的化学、生物方法对生态环境的污染和对人及其它动物的危害，操作
简单，有较强的可实施性并具有主动捕捉的特性。"
"10435279","局部表面挥发装置","CN03815415.3","本发明涉及一种用于从与点或局部热源接触的液体或固体射气测
量仪中快闪样蒸发高和低蒸汽压力成分的装置和方法。蒸发是通过几何
学上的小型电阻加热部件进行的，该加热部件能够可变启动包含所述挥
发性成分的发散表面的脉冲或循环加热。所述装置主要是用于处理住宅
空气，以便发出芳香气味，除臭，昆虫或害虫处理，空气消毒，空气和
表面抗细菌或抗微生物处理，或通过气体或蒸汽分布修饰其他环境空气
或表面。"
"10454838","稻杆类消毒设备及稻杆类消毒产品","CN200410069686.6","本发明的提供一种稻杆类消毒设备及稻杆类消毒产品。在消毒作业
场所(1)中设置消毒装置(2)，该消毒装置通过加热处理对由稻杆类
构成的材料(P)进行消毒，该消毒装置具有在内部收容材料(P)的筒
形的消毒罐(2a)和向消毒罐(2a)供应消毒热量的热源部(2b)。在
消毒装置(2)的消毒罐(2a)的轴向中部，将消毒作业场所(1)划分
为非清洁区域和清洁区域，并在消毒装置(2)的消毒罐(2a)的一端部
设置投入材料(P)的带有开关盖的投入口(2c)，并使其位于消毒作业
场所(1)的非清洁区域内，在另一端部设置排出材料(P)的带有开关
盖的排出口(2d)，并使其位于消毒作业场所(1)的清洁区域内。"
"10454839","藻类的抑制方法","CN200480004134.5","本发明的目的在于，提供可以不对生态体系造成坏影响、有效地抑制
藻类的方法。本发明的藻类的抑制方法是对藻类积聚的水域(4)进行遮光
的方法。在藻类积聚的水域(4)中，藻类以高密度存在。因此，通过对藻
类积聚的水域(4)进行遮光，可以不对生态体系造成坏影响地以短时间来
高效率地抑制藻类，可以有效地消除藻类的积聚状态。"
